ticket_id,user_id,issue_type,status,created_at
40,7909,Order Not Delivered,Closed,2025-01-25 05:04:45
41,4782,Refund Request,Closed,2025-01-08 10:35:01
42,4756,General Inquiry,Resolved,2025-01-04 10:37:55
43,1175,General Inquiry,Closed,2025-01-15 03:03:54
44,6329,Payment Issue,Closed,2025-01-15 21:40:45
45,6646,Wrong Item Received,Pending,2025-01-14 01:26:39
46,4541,Wrong Item Received,Open,2025-01-01 12:38:24
47,1245,Wrong Item Received,Closed,2025-01-21 14:08:38
48,5177,Payment Issue,Resolved,2025-01-19 08:51:26
49,7875,General Inquiry,Open,2025-01-13 23:25:02
50,8274,Wrong Item Received,Open,2025-01-16 00:47:11
51,7029,Damaged Product,Open,2025-01-10 18:54:17
52,3776,Wrong Item Received,Closed,2025-01-29 15:01:56
53,4262,Technical Issue,Open,2025-01-28 00:12:25
54,7442,Refund Request,Closed,2025-01-02 11:47:05
55,1740,General Inquiry,Pending,2025-01-18 11:52:17
56,7501,Technical Issue,Open,2025-01-06 14:35:33
57,5653,Wrong Item Received,Pending,2025-01-15 08:43:14
58,7037,Technical Issue,Resolved,2025-01-10 19:27:33
59,4862,Damaged Product,Pending,2025-01-09 12:49:36
60,3757,Technical Issue,Resolved,2025-01-19 15:24:31
61,9555,Refund Request,Open,2025-01-18 22:09:58
62,3672,Refund Request,Open,2025-01-29 22:20:54
63,9410,Damaged Product,Pending,2025-01-14 03:22:10
64,3470,Account Access Issue,Pending,2025-01-25 19:20:40
65,7307,Payment Issue,Closed,2025-01-01 14:31:32
66,726,Wrong Item Received,Resolved,2025-01-12 06:56:21
67,9786,Order Not Delivered,Open,2025-01-27 20:27:39
68,5637,General Inquiry,Pending,2025-01-22 19:40:22
69,4948,General Inquiry,Pending,2025-01-28 00:57:43
70,2022,General Inquiry,Open,2025-01-06 01:35:42
71,6854,Account Access Issue,Open,2025-01-05 17:04:23
72,4198,General Inquiry,Resolved,2025-01-13 13:17:16
73,5418,Payment Issue,Closed,2025-01-27 17:16:14
74,1658,Wrong Item Received,Open,2025-01-04 17:15:55
75,7003,Wrong Item Received,Resolved,2025-01-14 04:07:09
76,2623,Wrong Item Received,Open,2025-01-05 09:35:08
77,9817,Refund Request,Closed,2025-01-13 01:02:58
78,9597,Account Access Issue,Open,2025-01-10 21:43:00
79,9937,General Inquiry,Closed,2025-01-05 13:34:21
80,5787,Account Access Issue,Closed,2025-01-06 00:19:26
81,9905,Payment Issue,Resolved,2025-01-01 03:23:14
82,8346,Damaged Product,Pending,2025-01-02 08:24:07
83,3128,Account Access Issue,Open,2025-01-02 08:06:23
84,8448,Wrong Item Received,Pending,2025-01-10 01:07:50
85,6958,Payment Issue,Open,2025-01-06 01:56:38
86,5029,Technical Issue,Pending,2025-01-26 08:35:33
87,3209,Damaged Product,Resolved,2025-01-05 21:28:33
88,9225,Wrong Item Received,Resolved,2025-01-11 19:14:33
89,3980,General Inquiry,Open,2025-01-06 11:07:44
90,6871,Technical Issue,Pending,2025-01-07 07:05:00
91,913,Wrong Item Received,Open,2025-01-16 03:43:23
92,3125,General Inquiry,Closed,2025-01-09 05:48:12
93,3732,Refund Request,Pending,2025-01-20 10:53:47
94,88,Account Access Issue,Closed,2025-01-07 15:19:44
95,3739,Account Access Issue,Resolved,2025-01-18 15:44:15
96,5380,Payment Issue,Resolved,2025-01-17 15:51:51
97,5827,Payment Issue,Resolved,2025-01-18 06:09:18
98,5513,Payment Issue,Resolved,2025-01-26 17:49:35
99,5140,Payment Issue,Pending,2025-01-11 22:48:35
100,4250,Order Not Delivered,Pending,2025-01-15 14:54:23
101,2885,Order Not Delivered,Closed,2025-01-03 05:37:46
102,9162,Damaged Product,Closed,2025-01-21 09:08:16
103,9774,Refund Request,Closed,2025-01-21 15:10:32
104,5783,Wrong Item Received,Resolved,2025-01-21 08:46:44
105,9183,Payment Issue,Resolved,2025-01-06 07:14:29
106,9734,Order Not Delivered,Closed,2025-01-05 09:07:18
107,1278,Damaged Product,Closed,2025-01-09 05:02:31
108,7832,Refund Request,Closed,2025-01-19 02:49:41
109,7119,Payment Issue,Resolved,2025-01-01 07:27:22
110,7332,Refund Request,Resolved,2025-01-19 04:55:28
111,5438,Refund Request,Pending,2025-01-26 06:39:17
112,8320,Damaged Product,Pending,2025-01-15 14:24:47
113,5540,Order Not Delivered,Pending,2025-01-25 16:51:43
114,1478,Payment Issue,Pending,2025-01-21 11:05:37
115,605,Payment Issue,Pending,2025-01-21 16:29:56
116,9677,Wrong Item Received,Open,2025-01-05 14:20:13
117,9575,Wrong Item Received,Closed,2025-01-18 18:15:47
118,8477,Account Access Issue,Open,2025-01-12 03:47:57
119,8836,Payment Issue,Resolved,2025-01-09 23:27:17
120,3206,General Inquiry,Resolved,2025-01-03 10:36:43
121,4563,Order Not Delivered,Resolved,2025-01-06 15:01:11
122,9637,Order Not Delivered,Resolved,2025-01-27 03:19:47
123,1541,Technical Issue,Closed,2025-01-27 04:49:50
124,3755,Damaged Product,Open,2025-01-05 09:57:24
125,9438,Account Access Issue,Open,2025-01-03 11:10:49
126,7246,Payment Issue,Closed,2025-01-16 19:36:31
127,1900,Payment Issue,Pending,2025-01-06 09:07:17
128,6875,Payment Issue,Closed,2025-01-07 00:13:28
129,9531,Payment Issue,Resolved,2025-01-20 20:27:05
130,9580,Technical Issue,Closed,2025-01-15 20:12:28
131,2875,Account Access Issue,Open,2025-01-23 23:57:42
132,8182,Payment Issue,Resolved,2025-01-14 14:30:27
133,7355,Payment Issue,Resolved,2025-01-11 21:10:00
134,8125,Order Not Delivered,Resolved,2025-01-24 00:11:42
135,2580,Technical Issue,Pending,2025-01-18 06:31:07
136,123,Technical Issue,Pending,2025-01-17 20:27:03
137,1342,Account Access Issue,Resolved,2025-01-26 15:26:20
138,4896,Order Not Delivered,Pending,2025-01-16 17:19:58
139,3987,Refund Request,Resolved,2025-01-16 14:43:59
140,3120,Wrong Item Received,Resolved,2025-01-01 14:36:06
141,1292,Payment Issue,Closed,2025-01-06 02:46:35
142,9821,Refund Request,Resolved,2025-01-02 03:21:26
143,4739,Refund Request,Closed,2025-01-07 22:10:22
144,7592,Refund Request,Closed,2025-01-23 04:00:27
145,7181,Refund Request,Open,2025-01-02 22:22:33
146,8599,Damaged Product,Pending,2025-01-05 01:53:27
147,675,Payment Issue,Closed,2025-01-23 20:25:18
148,9248,Damaged Product,Resolved,2025-01-22 23:00:00
149,1515,Payment Issue,Resolved,2025-01-08 21:59:30
150,9045,Account Access Issue,Closed,2025-01-08 12:38:38
151,4169,General Inquiry,Open,2025-01-28 12:08:29
152,5726,Payment Issue,Open,2025-01-18 07:13:04
153,988,Wrong Item Received,Pending,2025-01-14 17:28:04
154,2890,Order Not Delivered,Open,2025-01-13 20:47:10
155,1907,General Inquiry,Pending,2025-01-19 09:21:35
156,1771,Payment Issue,Resolved,2025-01-26 03:33:37
157,2567,Technical Issue,Closed,2025-01-19 06:33:28
158,1228,Damaged Product,Pending,2025-01-25 12:37:34
159,8177,Refund Request,Resolved,2025-01-05 18:21:52
160,2233,Order Not Delivered,Resolved,2025-01-19 14:09:10
161,3513,General Inquiry,Closed,2025-01-13 03:14:16
162,5283,Wrong Item Received,Open,2025-01-28 05:20:44
163,9385,Order Not Delivered,Resolved,2025-01-28 21:34:02
164,4605,Wrong Item Received,Closed,2025-01-03 14:46:56
165,4218,Technical Issue,Closed,2025-01-05 21:05:23
166,2568,Wrong Item Received,Pending,2025-01-18 16:19:37
167,1718,Technical Issue,Closed,2025-01-05 22:26:18
168,2618,Technical Issue,Pending,2025-01-27 08:16:01
169,3414,Refund Request,Closed,2025-01-08 00:37:13
170,2927,Damaged Product,Closed,2025-01-10 05:48:49
171,260,Account Access Issue,Pending,2025-01-28 20:48:20
172,4995,Technical Issue,Open,2025-01-02 03:53:32
173,731,Damaged Product,Open,2025-01-17 16:36:59
174,3616,Payment Issue,Closed,2025-01-18 22:03:23
175,285,General Inquiry,Closed,2025-01-09 00:39:36
176,6122,General Inquiry,Pending,2025-01-09 06:47:25
177,4518,Wrong Item Received,Open,2025-01-27 23:19:06
178,5180,Refund Request,Pending,2025-01-23 16:07:37
179,8273,Account Access Issue,Closed,2025-01-28 16:02:40
180,3337,Order Not Delivered,Open,2025-01-18 03:28:12
181,8589,Technical Issue,Open,2025-01-15 04:27:48
182,4982,General Inquiry,Resolved,2025-01-06 08:17:56
183,2420,Account Access Issue,Open,2025-01-30 08:35:26
184,6752,General Inquiry,Closed,2025-01-26 00:41:37
185,9363,Refund Request,Pending,2025-01-21 08:01:26
186,2331,Wrong Item Received,Open,2025-01-16 13:01:22
187,9864,Payment Issue,Open,2025-01-27 20:33:53
188,6381,Wrong Item Received,Closed,2025-01-26 17:44:37
189,5628,Refund Request,Open,2025-01-19 19:58:50
190,7683,Damaged Product,Pending,2025-01-30 07:03:19
191,2597,Wrong Item Received,Resolved,2025-01-30 10:48:49
192,7476,Account Access Issue,Pending,2025-01-13 22:35:07
193,7099,Technical Issue,Pending,2025-01-27 12:14:25
194,2790,Wrong Item Received,Resolved,2025-01-14 05:57:53
195,8914,Order Not Delivered,Open,2025-01-20 17:39:27
196,6511,Wrong Item Received,Pending,2025-01-29 11:07:48
197,8490,Technical Issue,Resolved,2025-01-28 04:04:08
198,7276,Order Not Delivered,Resolved,2025-01-24 14:11:11
199,9773,General Inquiry,Pending,2025-01-08 16:51:03
200,8870,Order Not Delivered,Open,2025-01-22 17:09:28
201,2450,Damaged Product,Closed,2025-01-24 15:52:10
202,267,Order Not Delivered,Closed,2025-01-25 20:34:25
203,3847,Damaged Product,Pending,2025-01-14 05:40:46
204,5084,General Inquiry,Pending,2025-01-24 05:46:57
205,3763,Account Access Issue,Pending,2025-01-13 08:08:20
206,3927,Wrong Item Received,Pending,2025-01-09 15:27:21
207,4769,Account Access Issue,Closed,2025-01-04 05:29:13
208,1911,Account Access Issue,Pending,2025-01-03 01:12:00
209,3928,Payment Issue,Open,2025-01-03 16:13:30
210,4328,Refund Request,Pending,2025-01-06 22:38:54
211,3299,Payment Issue,Open,2025-01-21 17:38:56
212,4794,Damaged Product,Resolved,2025-01-03 00:12:56
213,9761,Technical Issue,Resolved,2025-01-29 19:49:16
214,6669,Payment Issue,Pending,2025-01-25 03:38:52
215,9173,Technical Issue,Pending,2025-01-07 05:16:51
216,7761,Order Not Delivered,Open,2025-01-29 12:54:29
217,2427,Payment Issue,Resolved,2025-01-04 02:06:18
218,8551,General Inquiry,Pending,2025-01-29 06:28:23
219,1051,Wrong Item Received,Closed,2025-01-24 17:01:58
220,786,Technical Issue,Closed,2025-01-19 18:50:11
221,1385,Technical Issue,Pending,2025-01-17 10:22:38
222,3736,Payment Issue,Pending,2025-01-25 20:28:15
223,4675,Technical Issue,Open,2025-01-27 03:37:02
224,7148,Wrong Item Received,Pending,2025-01-04 21:59:07
225,3697,Account Access Issue,Closed,2025-01-05 18:29:16
226,3536,Order Not Delivered,Open,2025-01-22 19:54:35
227,1045,General Inquiry,Resolved,2025-01-12 07:16:16
228,6836,Account Access Issue,Pending,2025-01-10 21:13:29
229,3418,Refund Request,Open,2025-01-23 23:39:44
230,9749,Account Access Issue,Open,2025-01-24 10:20:17
231,4119,Wrong Item Received,Closed,2025-01-09 06:52:06
232,8586,Damaged Product,Closed,2025-01-13 07:49:41
233,8705,Account Access Issue,Resolved,2025-01-08 07:27:37
234,8441,Refund Request,Resolved,2025-01-16 01:49:26
235,9422,Order Not Delivered,Open,2025-01-05 10:17:40
236,6948,Wrong Item Received,Resolved,2025-01-23 04:09:25
237,9606,Refund Request,Resolved,2025-01-02 23:11:58
238,7770,Wrong Item Received,Resolved,2025-01-15 20:28:45
239,6562,Wrong Item Received,Pending,2025-01-04 02:50:57
240,3325,Technical Issue,Open,2025-01-15 18:59:58
241,5481,Order Not Delivered,Resolved,2025-01-01 09:49:22
242,7602,Payment Issue,Closed,2025-01-28 08:24:50
243,5961,Damaged Product,Open,2025-01-05 05:01:36
244,3306,Technical Issue,Pending,2025-01-26 19:31:31
245,8901,Payment Issue,Closed,2025-01-19 22:13:09
246,3967,Damaged Product,Open,2025-01-18 04:27:24
247,2890,Payment Issue,Open,2025-01-10 09:25:40
248,8386,Account Access Issue,Open,2025-01-09 07:34:21
249,4899,Payment Issue,Open,2025-01-07 01:43:28
250,5616,Refund Request,Resolved,2025-01-25 11:35:12
251,2527,Refund Request,Open,2025-01-01 09:39:27
252,1373,Technical Issue,Open,2025-01-06 05:12:50
253,5157,Technical Issue,Closed,2025-01-04 05:36:15
254,5604,Wrong Item Received,Open,2025-01-07 04:03:01
255,6980,Wrong Item Received,Open,2025-01-08 09:29:51
256,5075,Damaged Product,Resolved,2025-01-22 17:01:26
257,4613,Order Not Delivered,Pending,2025-01-04 07:12:47
258,3213,General Inquiry,Pending,2025-01-01 19:49:38
259,2311,Refund Request,Pending,2025-01-02 03:02:24
260,2547,Technical Issue,Closed,2025-01-28 14:46:11
261,2480,Payment Issue,Open,2025-01-01 02:58:47
262,7487,General Inquiry,Open,2025-01-23 10:56:44
263,2133,Damaged Product,Pending,2025-01-23 06:30:15
264,2296,Payment Issue,Closed,2025-01-17 01:05:58
265,514,General Inquiry,Closed,2025-01-22 00:24:09
266,7558,Technical Issue,Pending,2025-01-04 14:25:13
267,4131,Technical Issue,Closed,2025-01-28 12:45:48
268,1183,Damaged Product,Pending,2025-01-08 01:19:09
269,8934,Order Not Delivered,Open,2025-01-11 00:12:33
270,1298,Wrong Item Received,Closed,2025-01-10 01:14:13
271,4893,Refund Request,Closed,2025-01-07 01:03:09
272,7643,Account Access Issue,Closed,2025-01-29 20:18:01
273,4868,Payment Issue,Resolved,2025-01-04 17:59:15
274,6849,Damaged Product,Resolved,2025-01-23 15:56:09
275,7368,Technical Issue,Pending,2025-01-28 23:02:00
276,2194,General Inquiry,Closed,2025-01-24 14:42:26
277,3933,Wrong Item Received,Pending,2025-01-14 04:24:51
278,512,Damaged Product,Resolved,2025-01-14 02:45:56
279,916,Technical Issue,Closed,2025-01-05 10:04:51
280,6567,General Inquiry,Open,2025-01-24 15:34:28
281,8203,Technical Issue,Pending,2025-01-20 21:54:21
282,2681,Payment Issue,Resolved,2025-01-01 06:08:33
283,2925,Wrong Item Received,Resolved,2025-01-29 20:32:22
284,7584,Damaged Product,Closed,2025-01-07 10:43:42
285,1703,Refund Request,Closed,2025-01-04 10:38:22
286,9456,Payment Issue,Pending,2025-01-18 18:13:31
287,4138,Wrong Item Received,Open,2025-01-14 02:49:10
288,2322,Order Not Delivered,Pending,2025-01-18 22:29:05
289,942,General Inquiry,Open,2025-01-23 12:16:23
290,7680,Refund Request,Resolved,2025-01-02 08:11:20
291,8874,Damaged Product,Closed,2025-01-05 09:04:38
292,4675,Payment Issue,Closed,2025-01-13 07:25:42
293,3267,Damaged Product,Open,2025-01-15 22:58:08
294,7331,General Inquiry,Closed,2025-01-21 13:39:27
295,9889,Account Access Issue,Resolved,2025-01-25 23:29:35
296,1588,Damaged Product,Closed,2025-01-07 20:18:54
297,3322,General Inquiry,Open,2025-01-06 04:52:46
298,6167,Order Not Delivered,Closed,2025-01-24 04:14:34
299,6360,Technical Issue,Closed,2025-01-24 21:10:40
300,6073,Account Access Issue,Pending,2025-01-10 03:41:46
301,931,Damaged Product,Resolved,2025-01-03 12:56:07
302,9544,Payment Issue,Resolved,2025-01-06 20:04:08
303,9464,General Inquiry,Resolved,2025-01-24 10:00:47
304,8260,Refund Request,Closed,2025-01-27 06:50:08
305,6506,General Inquiry,Pending,2025-01-02 12:36:12
306,2759,Payment Issue,Closed,2025-01-12 20:08:06
307,9564,General Inquiry,Resolved,2025-01-21 04:35:05
308,4047,Account Access Issue,Open,2025-01-10 17:24:16
309,8771,Payment Issue,Resolved,2025-01-08 20:31:24
310,9325,Account Access Issue,Resolved,2025-01-27 15:07:50
311,1273,Order Not Delivered,Resolved,2025-01-02 02:30:31
312,3216,Technical Issue,Open,2025-01-24 14:55:45
313,5671,Wrong Item Received,Open,2025-01-05 11:02:36
314,4495,Order Not Delivered,Pending,2025-01-01 17:15:51
315,2456,Account Access Issue,Open,2025-01-23 00:09:23
316,3397,Wrong Item Received,Closed,2025-01-28 22:32:28
317,5281,Account Access Issue,Closed,2025-01-02 12:51:40
318,2952,Refund Request,Resolved,2025-01-18 13:38:47
319,6274,Payment Issue,Resolved,2025-01-25 03:44:00
320,9603,Order Not Delivered,Pending,2025-01-26 03:15:20
321,9749,Damaged Product,Pending,2025-01-04 10:11:52
322,5461,Order Not Delivered,Open,2025-01-01 10:05:01
323,5751,Order Not Delivered,Resolved,2025-01-11 01:20:24
324,8367,Account Access Issue,Pending,2025-01-22 14:54:09
325,3216,Order Not Delivered,Resolved,2025-01-13 03:46:18
326,9896,Order Not Delivered,Open,2025-01-15 10:33:27
327,5104,Account Access Issue,Resolved,2025-01-22 06:16:01
328,1492,Damaged Product,Closed,2025-01-21 05:52:06
329,2617,Wrong Item Received,Pending,2025-01-01 03:43:19
330,7226,Account Access Issue,Pending,2025-01-10 11:47:14
331,4166,Refund Request,Pending,2025-01-26 15:08:49
332,4864,Wrong Item Received,Closed,2025-01-23 08:43:47
333,4500,Technical Issue,Open,2025-01-21 05:10:06
334,5001,Damaged Product,Closed,2025-01-07 01:48:33
335,3101,Damaged Product,Open,2025-01-30 03:22:36
336,7998,Damaged Product,Open,2025-01-10 11:40:53
337,4806,Account Access Issue,Pending,2025-01-28 21:05:25
338,4298,Technical Issue,Closed,2025-01-10 09:36:42
339,8706,General Inquiry,Closed,2025-01-12 06:04:42
340,6559,Wrong Item Received,Resolved,2025-01-30 02:11:28
341,5160,Account Access Issue,Closed,2025-01-08 10:07:14
342,4673,Refund Request,Open,2025-01-24 01:23:12
343,2409,Payment Issue,Open,2025-01-10 14:00:32
344,4090,General Inquiry,Open,2025-01-03 10:44:45
345,3560,Technical Issue,Pending,2025-01-25 02:37:34
346,8127,Account Access Issue,Pending,2025-01-02 11:52:45
347,2519,General Inquiry,Resolved,2025-01-30 11:01:43
348,2114,Technical Issue,Pending,2025-01-26 20:13:25
349,8070,Wrong Item Received,Pending,2025-01-05 23:22:34
350,261,Wrong Item Received,Resolved,2025-01-26 00:40:51
351,447,Order Not Delivered,Resolved,2025-01-07 04:18:38
352,2782,Refund Request,Pending,2025-01-22 19:10:12
353,4361,Wrong Item Received,Resolved,2025-01-14 02:38:28
354,2555,Technical Issue,Closed,2025-01-03 05:14:51
355,8065,General Inquiry,Open,2025-01-24 22:19:50
356,7188,Payment Issue,Open,2025-01-21 19:17:49
357,3424,Order Not Delivered,Resolved,2025-01-02 00:18:10
358,2597,Order Not Delivered,Open,2025-01-21 06:22:08
359,2654,Account Access Issue,Closed,2025-01-03 11:13:53
360,7208,Wrong Item Received,Open,2025-01-15 12:19:11
361,746,Order Not Delivered,Closed,2025-01-17 08:04:26
362,3297,Order Not Delivered,Resolved,2025-01-05 19:43:38
363,3793,Wrong Item Received,Open,2025-01-07 16:50:29
364,1962,Order Not Delivered,Open,2025-01-28 03:59:45
365,3086,Wrong Item Received,Resolved,2025-01-22 12:29:47
366,5489,Account Access Issue,Pending,2025-01-11 14:25:27
367,2653,Order Not Delivered,Pending,2025-01-20 04:39:09
368,5097,Technical Issue,Pending,2025-01-12 05:36:02
369,5518,Payment Issue,Resolved,2025-01-12 07:59:24
370,452,Refund Request,Open,2025-01-06 08:52:40
371,3538,Damaged Product,Pending,2025-01-01 18:17:30
372,8975,Account Access Issue,Resolved,2025-01-01 22:25:38
373,1571,Wrong Item Received,Closed,2025-01-04 02:57:44
374,7938,Order Not Delivered,Closed,2025-01-30 04:02:27
375,7023,Wrong Item Received,Resolved,2025-01-12 04:10:23
376,5191,Payment Issue,Pending,2025-01-14 23:29:46
377,6450,Refund Request,Pending,2025-01-21 13:06:31
378,1933,Damaged Product,Pending,2025-01-15 15:52:02
379,16,General Inquiry,Pending,2025-01-11 10:46:45
380,7902,Wrong Item Received,Resolved,2025-01-19 09:10:19
381,1548,General Inquiry,Open,2025-01-23 03:51:00
382,9382,Wrong Item Received,Closed,2025-01-14 10:49:05
383,4521,Refund Request,Pending,2025-01-22 01:47:15
384,9667,Wrong Item Received,Open,2025-01-28 18:25:50
385,6448,Damaged Product,Resolved,2025-01-02 07:24:12
386,2168,Payment Issue,Closed,2025-01-14 16:38:33
387,610,Account Access Issue,Closed,2025-01-05 00:04:10
388,1052,Damaged Product,Open,2025-01-10 09:12:02
389,8496,Order Not Delivered,Open,2025-01-10 15:52:05
390,4460,Account Access Issue,Resolved,2025-01-27 17:11:01
391,5574,General Inquiry,Resolved,2025-01-13 05:20:22
392,4847,Account Access Issue,Open,2025-01-03 02:33:30
393,1712,Technical Issue,Closed,2025-01-25 07:19:16
394,451,Wrong Item Received,Closed,2025-01-26 02:38:54
395,8073,Account Access Issue,Pending,2025-01-26 16:53:24
396,1377,Damaged Product,Resolved,2025-01-27 20:44:41
397,9925,Wrong Item Received,Closed,2025-01-17 03:34:01
398,5480,Payment Issue,Pending,2025-01-16 19:20:32
399,5291,Wrong Item Received,Closed,2025-01-20 17:50:32
400,1909,Payment Issue,Resolved,2025-01-12 12:09:14
401,2350,General Inquiry,Open,2025-01-15 09:27:54
402,8596,Technical Issue,Closed,2025-01-07 02:41:43
403,1901,Order Not Delivered,Resolved,2025-01-01 00:01:33
404,9471,Wrong Item Received,Resolved,2025-01-03 09:43:17
405,8414,Damaged Product,Pending,2025-01-13 10:16:36
406,2642,Damaged Product,Pending,2025-01-11 14:12:40
407,2160,Account Access Issue,Closed,2025-01-28 17:38:38
408,1870,Damaged Product,Resolved,2025-01-09 14:18:23
409,9282,Refund Request,Closed,2025-01-30 15:44:53
410,8036,Payment Issue,Pending,2025-01-18 17:40:47
411,2248,Account Access Issue,Pending,2025-01-08 16:29:04
412,9015,Payment Issue,Closed,2025-01-11 09:25:53
413,2579,Damaged Product,Closed,2025-01-15 10:04:31
414,3067,Order Not Delivered,Closed,2025-01-16 05:36:28
415,8140,Damaged Product,Pending,2025-01-24 13:16:39
416,4442,Damaged Product,Pending,2025-01-24 22:29:20
417,5488,Wrong Item Received,Closed,2025-01-16 05:08:03
418,7482,Refund Request,Resolved,2025-01-27 05:57:54
419,63,Damaged Product,Open,2025-01-11 06:05:40
420,7753,General Inquiry,Resolved,2025-01-19 15:04:07
421,5907,Wrong Item Received,Open,2025-01-12 23:30:16
422,6058,Payment Issue,Resolved,2025-01-12 21:17:58
423,2531,Order Not Delivered,Resolved,2025-01-11 03:00:50
424,4922,Payment Issue,Open,2025-01-07 02:25:38
425,7148,General Inquiry,Open,2025-01-26 16:32:23
426,245,Refund Request,Pending,2025-01-17 07:25:13
427,6196,Damaged Product,Open,2025-01-02 00:49:23
428,5400,Order Not Delivered,Closed,2025-01-02 16:58:23
429,2863,Technical Issue,Open,2025-01-07 18:33:37
430,7390,General Inquiry,Resolved,2025-01-21 00:48:00
431,7441,Account Access Issue,Resolved,2025-01-16 16:13:47
432,9234,Account Access Issue,Pending,2025-01-16 12:24:40
433,1868,Wrong Item Received,Open,2025-01-27 03:26:25
434,1586,Payment Issue,Resolved,2025-01-14 14:08:26
435,2587,Refund Request,Pending,2025-01-29 10:21:41
436,2713,Technical Issue,Open,2025-01-02 18:10:08
437,2058,General Inquiry,Pending,2025-01-03 18:39:30
438,2699,Technical Issue,Open,2025-01-25 15:30:07
439,3293,Wrong Item Received,Closed,2025-01-12 13:46:57
440,7720,Order Not Delivered,Resolved,2025-01-30 09:34:20
441,6743,Wrong Item Received,Closed,2025-01-20 19:37:02
442,1892,Damaged Product,Resolved,2025-01-05 16:08:56
443,4243,Payment Issue,Pending,2025-01-24 19:12:46
444,9243,Wrong Item Received,Open,2025-01-20 02:14:00
445,6149,Damaged Product,Resolved,2025-01-22 20:46:13
446,6811,Wrong Item Received,Open,2025-01-17 13:54:41
447,4377,General Inquiry,Pending,2025-01-07 11:31:20
448,5666,Account Access Issue,Resolved,2025-01-20 18:23:14
449,6296,Account Access Issue,Resolved,2025-01-01 21:49:34
450,8439,Wrong Item Received,Resolved,2025-01-27 22:21:45
451,1520,Account Access Issue,Open,2025-01-20 14:02:02
452,1162,Refund Request,Closed,2025-01-11 04:47:08
453,4324,Wrong Item Received,Pending,2025-01-12 12:07:00
454,7735,Refund Request,Open,2025-01-02 20:49:15
455,8059,Damaged Product,Closed,2025-01-20 18:51:18
456,2516,Technical Issue,Resolved,2025-01-25 16:01:04
457,5549,Account Access Issue,Open,2025-01-16 05:30:15
458,3927,Refund Request,Open,2025-01-14 00:07:00
459,640,Refund Request,Open,2025-01-16 21:34:29
460,2276,Wrong Item Received,Resolved,2025-01-09 10:25:31
461,2543,Damaged Product,Open,2025-01-28 15:20:15
462,5250,Technical Issue,Resolved,2025-01-20 08:27:53
463,2361,Wrong Item Received,Pending,2025-01-30 01:05:25
464,5215,Damaged Product,Pending,2025-01-07 03:52:51
465,5193,General Inquiry,Resolved,2025-01-16 21:41:50
466,8007,Wrong Item Received,Open,2025-01-14 00:15:24
467,9243,Account Access Issue,Resolved,2025-01-11 03:35:37
468,2508,Wrong Item Received,Closed,2025-01-10 06:42:45
469,2312,Damaged Product,Pending,2025-01-14 19:02:24
470,2880,Refund Request,Resolved,2025-01-17 23:58:19
471,7108,General Inquiry,Pending,2025-01-21 04:38:37
472,104,Account Access Issue,Closed,2025-01-19 10:34:35
473,8424,Wrong Item Received,Open,2025-01-19 21:51:43
