payment_id,order_id,user_id,payment_status,payment_method,payment_date
83,29447,5073,Failed,Credit Card,2025-01-18 15:38:28
84,4654,2331,Completed,Credit Card,2025-01-25 14:17:59
85,12778,2104,Completed,Credit Card,2025-01-14 05:43:11
86,23795,1896,Completed,Cryptocurrency,2025-01-05 06:38:04
87,27809,6866,Completed,Bank Transfer,2025-01-18 16:02:56
88,4216,1047,Pending,Credit Card,2025-01-08 12:28:31
89,3314,4590,Completed,PayPal,2025-01-03 21:23:19
90,26948,2194,Failed,PayPal,2025-01-09 07:22:48
91,20926,2718,Completed,Cryptocurrency,2025-01-03 02:37:07
92,16113,9532,Failed,Credit Card,2025-01-02 18:25:26
93,13218,8447,Failed,Bank Transfer,2025-01-24 02:32:32
94,10934,1300,Pending,Bank Transfer,2025-01-07 13:10:12
95,28128,2389,Pending,Credit Card,2025-01-12 08:11:31
96,22937,805,Completed,Credit Card,2025-01-18 10:19:22
97,7908,5750,Failed,Bank Transfer,2025-01-03 05:34:14
98,21104,9448,Completed,Credit Card,2025-01-10 11:54:02
99,5691,7863,Pending,Bank Transfer,2025-01-07 00:10:18
100,26973,1340,Pending,Cryptocurrency,2025-01-20 09:15:26
101,10249,8725,Completed,Credit Card,2025-01-06 12:48:34
102,27862,1392,Completed,Bank Transfer,2025-01-12 21:30:08
103,2831,5143,Failed,PayPal,2025-01-24 08:38:44
104,29534,6399,Failed,Bank Transfer,2025-01-16 08:47:06
105,22913,2850,Completed,PayPal,2025-01-05 23:32:15
106,19489,8515,Failed,Bank Transfer,2025-01-20 01:00:30
107,23009,924,Failed,Cryptocurrency,2025-01-09 04:25:49
108,27362,4006,Failed,Credit Card,2025-01-14 06:08:34
109,9028,7454,Completed,Cryptocurrency,2025-01-06 04:01:23
110,24821,4754,Failed,Cryptocurrency,2025-01-15 01:49:35
111,16849,958,Pending,Credit Card,2025-01-28 23:55:57
112,10366,8288,Completed,Cryptocurrency,2025-01-28 02:56:34
113,27371,7930,Failed,PayPal,2025-01-22 15:30:01
114,24919,8507,Completed,Credit Card,2025-01-25 15:55:22
115,2605,1407,Pending,Cryptocurrency,2025-01-30 00:55:06
116,24716,3850,Failed,Credit Card,2025-01-07 07:09:45
117,21272,2776,Pending,PayPal,2025-01-25 22:52:43
118,26510,7181,Completed,Credit Card,2025-01-17 19:57:16
119,6866,4772,Failed,Cryptocurrency,2025-01-05 00:06:32
120,15727,2530,Pending,Bank Transfer,2025-01-08 07:31:52
121,6932,5994,Failed,Credit Card,2025-01-16 23:49:31
122,28333,3062,Pending,Bank Transfer,2025-01-17 10:09:22
123,387,8305,Completed,Bank Transfer,2025-01-17 06:29:48
124,8818,362,Completed,Cryptocurrency,2025-01-01 00:49:47
125,3210,6564,Completed,Credit Card,2025-01-07 01:11:03
126,29601,6489,Failed,Bank Transfer,2025-01-18 06:43:11
127,11023,8561,Completed,Cryptocurrency,2025-01-27 22:54:41
128,13275,4083,Pending,Bank Transfer,2025-01-29 15:04:18
129,15834,8963,Failed,Bank Transfer,2025-01-20 22:08:05
130,3504,7875,Completed,Bank Transfer,2025-01-17 12:42:08
131,20466,4981,Pending,Bank Transfer,2025-01-12 19:02:09
132,16740,6925,Completed,Credit Card,2025-01-21 09:25:47
133,13176,8895,Pending,Cryptocurrency,2025-01-17 03:37:35
134,23649,3046,Completed,Bank Transfer,2025-01-06 12:56:26
135,20948,5993,Completed,Bank Transfer,2025-01-16 18:42:16
136,7413,5721,Failed,PayPal,2025-01-16 18:25:29
137,16547,789,Completed,Credit Card,2025-01-25 00:33:26
138,9966,5975,Failed,Bank Transfer,2025-01-13 22:35:23
139,12948,2074,Completed,Bank Transfer,2025-01-25 02:28:11
140,19130,1290,Failed,Bank Transfer,2025-01-02 20:28:30
141,723,4093,Failed,PayPal,2025-01-08 15:30:45
142,16835,9676,Completed,Credit Card,2025-01-26 13:43:50
143,29151,7624,Completed,Bank Transfer,2025-01-23 20:38:17
144,20262,8873,Failed,Credit Card,2025-01-23 17:08:18
145,4763,2976,Pending,PayPal,2025-01-11 04:40:00
146,4203,3599,Completed,PayPal,2025-01-02 23:10:33
147,2765,7184,Completed,PayPal,2025-01-18 21:48:25
148,25503,430,Pending,Cryptocurrency,2025-01-02 11:15:39
149,5359,5613,Completed,Credit Card,2025-01-14 03:15:23
150,327,8924,Pending,PayPal,2025-01-15 08:57:32
151,25107,9563,Pending,Credit Card,2025-01-24 01:05:44
152,9609,8788,Pending,Bank Transfer,2025-01-12 17:39:01
153,16427,4544,Pending,Cryptocurrency,2025-01-23 06:51:51
154,17285,8177,Failed,PayPal,2025-01-09 18:32:59
155,14304,5196,Completed,Credit Card,2025-01-05 10:36:12
156,24340,7340,Pending,Credit Card,2025-01-18 16:47:46
157,6547,758,Failed,Credit Card,2025-01-24 01:57:57
158,22776,4066,Pending,Credit Card,2025-01-13 08:47:29
159,14883,5386,Failed,PayPal,2025-01-10 04:42:53
160,17973,6241,Failed,Bank Transfer,2025-01-07 22:29:06
161,16326,4768,Pending,Bank Transfer,2025-01-27 16:23:31
162,9762,4871,Failed,Bank Transfer,2025-01-02 13:05:46
163,14372,59,Failed,Cryptocurrency,2025-01-25 22:10:49
164,3166,9117,Pending,PayPal,2025-01-28 05:35:51
165,4560,6801,Pending,PayPal,2025-01-13 21:06:32
166,22050,263,Pending,Credit Card,2025-01-07 09:13:38
167,7397,6798,Pending,PayPal,2025-01-09 21:35:45
168,7303,3156,Pending,Cryptocurrency,2025-01-10 00:13:23
169,4155,8672,Completed,Cryptocurrency,2025-01-25 10:58:12
170,7114,1112,Pending,Bank Transfer,2025-01-28 20:50:40
171,25903,6860,Completed,PayPal,2025-01-07 00:56:32
172,15771,1803,Failed,Cryptocurrency,2025-01-14 19:56:57
173,14389,8091,Completed,Bank Transfer,2025-01-21 22:39:22
174,9649,1240,Completed,PayPal,2025-01-14 21:04:12
175,6213,4782,Completed,Credit Card,2025-01-11 11:41:08
176,4104,3868,Failed,Bank Transfer,2025-01-13 15:57:06
177,24964,9473,Completed,PayPal,2025-01-10 20:55:37
178,27276,4639,Completed,Credit Card,2025-01-24 23:20:12
179,23598,7344,Pending,Cryptocurrency,2025-01-06 08:59:44
180,11530,3276,Completed,Cryptocurrency,2025-01-15 11:07:55
181,1376,9236,Failed,Credit Card,2025-01-17 02:11:16
182,17766,2765,Failed,PayPal,2025-01-13 16:09:21
183,4536,108,Failed,Bank Transfer,2025-01-01 11:27:24
184,15311,5912,Completed,Credit Card,2025-01-13 01:25:52
185,24208,9382,Failed,Credit Card,2025-01-07 23:39:43
186,18399,6841,Failed,Cryptocurrency,2025-01-22 14:33:15
187,11570,5714,Pending,Cryptocurrency,2025-01-18 17:26:10
188,5879,1433,Pending,Credit Card,2025-01-05 00:17:51
189,28310,7368,Completed,Cryptocurrency,2025-01-27 17:38:10
190,8397,8805,Completed,PayPal,2025-01-29 22:49:50
191,10381,1690,Failed,PayPal,2025-01-03 10:53:39
192,18359,8594,Failed,PayPal,2025-01-29 04:46:28
193,10004,9471,Failed,Credit Card,2025-01-10 00:25:10
194,643,4090,Failed,Bank Transfer,2025-01-29 08:36:08
195,5349,167,Pending,PayPal,2025-01-24 03:37:52
196,7901,6825,Pending,PayPal,2025-01-30 01:33:05
197,28764,6238,Failed,Cryptocurrency,2025-01-17 00:10:48
198,13859,6078,Failed,Bank Transfer,2025-01-22 11:50:19
199,27130,1635,Failed,Bank Transfer,2025-01-12 23:22:30
200,15517,6348,Pending,Credit Card,2025-01-22 16:40:31
201,24359,1799,Pending,Credit Card,2025-01-09 19:59:48
202,23909,8987,Pending,Bank Transfer,2025-01-14 13:28:01
203,20939,5362,Completed,Credit Card,2025-01-11 08:27:35
204,15938,8040,Failed,PayPal,2025-01-05 22:32:29
205,22347,9398,Completed,Credit Card,2025-01-22 20:32:41
206,16096,9723,Failed,Cryptocurrency,2025-01-16 07:50:53
207,10512,2178,Pending,Cryptocurrency,2025-01-08 19:32:44
208,3284,4134,Pending,PayPal,2025-01-18 17:02:19
209,4562,3249,Failed,Bank Transfer,2025-01-23 22:24:08
210,29367,1019,Pending,Cryptocurrency,2025-01-06 10:29:29
211,26041,7958,Pending,PayPal,2025-01-04 00:15:38
212,3675,8117,Failed,PayPal,2025-01-08 06:56:15
213,20613,5634,Completed,Credit Card,2025-01-03 18:18:39
214,19196,5123,Pending,PayPal,2025-01-05 20:31:04
215,14136,2463,Failed,PayPal,2025-01-20 05:45:39
216,28338,2134,Pending,Credit Card,2025-01-13 05:30:16
217,23459,6721,Completed,Cryptocurrency,2025-01-14 16:26:15
218,17212,3098,Pending,Credit Card,2025-01-03 09:42:08
219,8631,1634,Completed,Bank Transfer,2025-01-19 06:49:28
220,27710,6463,Pending,PayPal,2025-01-15 06:54:10
221,8767,8180,Completed,Cryptocurrency,2025-01-02 06:58:36
222,10913,3075,Completed,PayPal,2025-01-11 22:18:50
223,22522,2507,Completed,Credit Card,2025-01-14 18:20:42
224,16928,746,Completed,Cryptocurrency,2025-01-09 15:16:26
225,24902,8257,Pending,Credit Card,2025-01-19 16:33:26
226,9365,608,Pending,Cryptocurrency,2025-01-22 12:24:46
227,13207,7430,Completed,Cryptocurrency,2025-01-13 13:21:39
228,8067,6129,Pending,Bank Transfer,2025-01-12 07:10:07
229,29111,2484,Pending,PayPal,2025-01-08 04:51:08
230,1395,5333,Completed,Bank Transfer,2025-01-21 18:49:02
231,27971,4188,Completed,PayPal,2025-01-27 00:50:02
232,4433,443,Failed,Bank Transfer,2025-01-17 10:34:11
233,20330,2388,Completed,Credit Card,2025-01-18 20:33:08
234,6152,6189,Pending,Credit Card,2025-01-03 12:18:54
235,27493,5527,Pending,Cryptocurrency,2025-01-08 09:52:43
236,20542,7076,Pending,Credit Card,2025-01-05 07:56:34
237,9062,7164,Pending,Credit Card,2025-01-13 15:52:29
238,8469,4964,Completed,Credit Card,2025-01-07 05:15:07
239,23555,8610,Failed,Credit Card,2025-01-22 17:35:24
240,13757,6505,Failed,PayPal,2025-01-07 05:39:22
241,2294,37,Failed,Bank Transfer,2025-01-14 15:14:38
242,16987,8977,Pending,Bank Transfer,2025-01-11 10:06:32
243,1429,4691,Completed,PayPal,2025-01-24 09:51:15
244,23539,6032,Pending,Cryptocurrency,2025-01-09 08:45:23
245,26306,6129,Completed,Bank Transfer,2025-01-29 15:52:37
246,29875,9039,Completed,Cryptocurrency,2025-01-08 06:44:17
247,13397,3169,Failed,Credit Card,2025-01-01 13:31:02
248,17900,2914,Completed,Bank Transfer,2025-01-03 23:31:46
249,637,7028,Pending,Cryptocurrency,2025-01-16 15:26:18
250,1820,5804,Pending,Bank Transfer,2025-01-24 17:15:44
251,1806,1444,Completed,PayPal,2025-01-16 19:57:53
252,1651,7428,Failed,PayPal,2025-01-18 10:22:36
253,23490,5999,Completed,Bank Transfer,2025-01-23 06:36:12
254,56,3291,Pending,Bank Transfer,2025-01-17 23:20:14
255,23173,3818,Failed,Bank Transfer,2025-01-25 12:46:24
256,9120,1412,Completed,Credit Card,2025-01-28 22:30:41
257,27419,3953,Pending,PayPal,2025-01-09 19:09:18
258,4649,8093,Pending,Bank Transfer,2025-01-10 15:46:29
259,5241,537,Pending,Credit Card,2025-01-20 15:01:08
260,12542,3634,Failed,Cryptocurrency,2025-01-10 21:45:06
261,5497,3699,Pending,PayPal,2025-01-07 19:37:02
262,671,9217,Failed,Cryptocurrency,2025-01-23 16:17:06
263,19940,4731,Failed,Bank Transfer,2025-01-17 21:22:14
264,11628,1665,Failed,Credit Card,2025-01-22 09:44:19
265,19966,9198,Failed,Cryptocurrency,2025-01-13 19:54:23
266,21451,1145,Pending,Credit Card,2025-01-21 17:08:25
267,1978,3829,Failed,Bank Transfer,2025-01-06 14:29:52
268,27020,1013,Pending,Bank Transfer,2025-01-09 00:02:04
269,5108,5928,Failed,Cryptocurrency,2025-01-09 12:40:02
270,23240,9569,Pending,PayPal,2025-01-01 06:02:37
271,29474,2283,Pending,PayPal,2025-01-09 16:06:22
272,507,3197,Failed,Cryptocurrency,2025-01-21 06:52:40
273,2628,8152,Failed,PayPal,2025-01-06 01:28:15
274,26045,9242,Pending,Bank Transfer,2025-01-07 06:03:59
275,15078,6589,Pending,Bank Transfer,2025-01-26 01:05:02
276,28561,5685,Pending,PayPal,2025-01-10 01:59:37
277,13177,1156,Completed,Cryptocurrency,2025-01-23 15:08:32
278,2122,8199,Failed,PayPal,2025-01-25 04:49:33
279,17228,9605,Pending,Cryptocurrency,2025-01-13 13:57:55
280,9239,5491,Completed,Bank Transfer,2025-01-15 03:58:49
281,10215,5768,Completed,Credit Card,2025-01-07 02:14:47
282,28551,6707,Completed,Cryptocurrency,2025-01-26 11:29:05
283,14560,9945,Pending,Credit Card,2025-01-22 05:49:43
284,23843,9228,Failed,Bank Transfer,2025-01-06 15:01:19
285,5691,5238,Completed,PayPal,2025-01-15 01:49:33
286,8350,9169,Failed,PayPal,2025-01-13 07:28:25
287,912,7536,Failed,Bank Transfer,2025-01-14 15:47:45
288,25285,2820,Pending,Cryptocurrency,2025-01-03 02:42:49
289,15418,3413,Pending,PayPal,2025-01-24 08:45:40
290,8776,2479,Completed,Credit Card,2025-01-14 02:48:24
291,14866,2714,Completed,Credit Card,2025-01-25 10:36:43
292,14057,9794,Failed,Cryptocurrency,2025-01-20 14:48:33
293,23116,8934,Failed,Cryptocurrency,2025-01-12 05:24:17
294,12806,8481,Completed,Credit Card,2025-01-13 18:40:11
295,17738,4877,Completed,Credit Card,2025-01-05 17:53:07
296,3434,321,Failed,Cryptocurrency,2025-01-24 05:06:20
297,8893,2944,Failed,PayPal,2025-01-15 11:32:22
298,22694,9265,Pending,Bank Transfer,2025-01-13 06:11:24
299,24447,6430,Failed,Credit Card,2025-01-02 10:51:24
300,1576,861,Completed,Credit Card,2025-01-03 09:33:04
301,1873,8478,Failed,Bank Transfer,2025-01-18 03:00:23
302,25034,884,Completed,Cryptocurrency,2025-01-21 15:49:20
303,21873,6824,Completed,Credit Card,2025-01-27 06:33:04
304,16745,5993,Failed,Cryptocurrency,2025-01-24 22:57:49
305,23660,1308,Failed,Bank Transfer,2025-01-18 14:29:55
306,16352,9441,Pending,Credit Card,2025-01-27 01:47:55
307,19683,7867,Pending,Bank Transfer,2025-01-16 15:07:01
308,24705,6953,Failed,PayPal,2025-01-07 12:27:56
309,621,2152,Failed,Credit Card,2025-01-23 16:17:48
310,15816,9275,Pending,Credit Card,2025-01-27 18:36:36
311,17581,1770,Pending,Credit Card,2025-01-16 00:02:44
312,21295,8180,Pending,Credit Card,2025-01-21 19:38:40
313,26666,4930,Completed,Bank Transfer,2025-01-15 17:14:48
314,22614,595,Failed,PayPal,2025-01-03 06:53:29
315,12907,7164,Failed,Cryptocurrency,2025-01-17 14:06:26
316,4454,6546,Failed,Credit Card,2025-01-02 02:12:25
317,25998,2857,Pending,Bank Transfer,2025-01-22 17:00:48
318,27997,7487,Failed,Cryptocurrency,2025-01-09 15:24:23
319,19323,446,Pending,Credit Card,2025-01-14 06:36:52
320,17269,2992,Completed,PayPal,2025-01-02 15:34:01
321,4680,9249,Completed,PayPal,2025-01-16 11:19:01
322,27423,3196,Failed,Bank Transfer,2025-01-11 08:24:50
323,3221,9017,Pending,Bank Transfer,2025-01-13 08:00:34
324,19285,6549,Pending,PayPal,2025-01-25 00:08:42
325,8677,5303,Completed,PayPal,2025-01-27 12:55:38
326,17921,3663,Pending,Cryptocurrency,2025-01-11 06:49:32
327,4163,9525,Pending,PayPal,2025-01-23 07:52:04
328,6519,3295,Completed,Credit Card,2025-01-25 17:06:00
329,24587,7289,Failed,Credit Card,2025-01-29 17:58:47
330,5456,7126,Failed,Cryptocurrency,2025-01-07 23:36:22
331,6066,7231,Failed,Bank Transfer,2025-01-14 03:43:16
332,11338,4867,Completed,Bank Transfer,2025-01-25 01:17:41
333,1569,5853,Completed,Bank Transfer,2025-01-08 19:43:52
334,12181,5625,Pending,PayPal,2025-01-06 06:38:40
335,25764,4626,Completed,PayPal,2025-01-29 22:33:04
336,20090,3860,Failed,PayPal,2025-01-27 12:29:23
337,948,2437,Completed,Credit Card,2025-01-29 18:10:19
338,21565,7756,Pending,Credit Card,2025-01-18 04:21:31
339,27027,6832,Failed,Cryptocurrency,2025-01-21 22:44:45
340,16324,1404,Completed,PayPal,2025-01-03 20:35:15
341,18687,5953,Completed,Cryptocurrency,2025-01-22 21:29:04
342,9969,7805,Failed,Cryptocurrency,2025-01-04 22:56:30
343,21840,5263,Pending,PayPal,2025-01-09 09:15:22
344,25271,5733,Completed,PayPal,2025-01-13 19:34:39
345,23667,888,Pending,Credit Card,2025-01-01 19:27:05
346,25197,5034,Failed,Cryptocurrency,2025-01-12 00:30:17
347,29184,5480,Failed,Credit Card,2025-01-21 11:47:07
348,12880,5359,Pending,Bank Transfer,2025-01-22 18:42:43
349,23936,7820,Pending,Credit Card,2025-01-01 01:25:27
350,24071,6755,Pending,PayPal,2025-01-24 05:38:19
351,1359,697,Pending,Cryptocurrency,2025-01-02 15:55:00
352,17022,358,Completed,Credit Card,2025-01-30 01:08:57
353,17470,6324,Pending,Cryptocurrency,2025-01-06 22:19:39
354,906,817,Pending,Credit Card,2025-01-10 22:11:25
355,12654,3849,Pending,Bank Transfer,2025-01-28 09:50:10
356,21287,2422,Completed,Bank Transfer,2025-01-07 02:57:51
357,23818,5317,Failed,PayPal,2025-01-24 12:32:04
358,6759,6041,Completed,PayPal,2025-01-15 21:10:36
359,29297,4460,Pending,Bank Transfer,2025-01-21 00:33:29
360,21123,189,Pending,PayPal,2025-01-08 21:13:58
361,5711,2780,Pending,Bank Transfer,2025-01-09 12:37:43
362,25150,2458,Failed,PayPal,2025-01-04 15:30:05
363,9736,3422,Completed,Cryptocurrency,2025-01-13 06:51:36
364,117,688,Pending,PayPal,2025-01-24 20:54:40
365,12235,1990,Pending,PayPal,2025-01-28 09:26:53
366,2901,6000,Pending,Cryptocurrency,2025-01-11 09:09:33
367,23330,693,Failed,PayPal,2025-01-09 00:23:41
368,18027,6182,Pending,Cryptocurrency,2025-01-16 20:52:24
369,26883,975,Pending,Bank Transfer,2025-01-03 14:12:25
370,8874,337,Completed,Credit Card,2025-01-22 12:57:34
371,7223,8378,Completed,PayPal,2025-01-14 03:14:42
372,22755,1194,Pending,PayPal,2025-01-25 01:20:06
373,27235,6943,Pending,Credit Card,2025-01-22 20:21:08
374,15364,2771,Failed,Credit Card,2025-01-17 01:53:56
375,27475,6478,Completed,Bank Transfer,2025-01-11 14:06:13
376,24371,5314,Pending,Bank Transfer,2025-01-24 05:35:23
377,9092,4897,Completed,Credit Card,2025-01-08 12:38:48
378,22234,2088,Failed,Credit Card,2025-01-19 18:47:00
379,12161,7635,Failed,Credit Card,2025-01-05 22:58:49
380,15201,5473,Completed,Bank Transfer,2025-01-16 20:47:45
381,28378,8692,Pending,Credit Card,2025-01-19 01:25:41
382,27145,2781,Pending,Credit Card,2025-01-25 00:11:40
383,27203,1671,Completed,Cryptocurrency,2025-01-19 07:20:31
384,11507,1564,Failed,Cryptocurrency,2025-01-17 21:15:21
385,21143,1193,Failed,Cryptocurrency,2025-01-29 09:06:29
386,24750,6568,Failed,Bank Transfer,2025-01-10 01:37:52
387,16909,3113,Failed,Bank Transfer,2025-01-27 14:41:10
388,22508,914,Pending,Cryptocurrency,2025-01-22 23:42:48
389,1403,8669,Failed,Credit Card,2025-01-14 13:01:53
390,29968,1731,Failed,Cryptocurrency,2025-01-17 20:10:03
391,2348,9610,Completed,Cryptocurrency,2025-01-26 10:31:03
392,1268,6688,Pending,Bank Transfer,2025-01-13 03:51:18
393,2001,3608,Pending,Bank Transfer,2025-01-06 23:21:39
394,5882,7852,Failed,Credit Card,2025-01-16 21:38:13
395,25052,8235,Completed,Credit Card,2025-01-12 23:40:51
396,6202,6331,Failed,Credit Card,2025-01-07 09:05:02
397,3770,2528,Completed,Bank Transfer,2025-01-06 19:17:37
398,3804,1134,Failed,PayPal,2025-01-24 16:30:30
399,2199,1974,Failed,Cryptocurrency,2025-01-06 11:39:02
400,27120,3685,Pending,Credit Card,2025-01-12 05:22:54
401,7901,6093,Completed,PayPal,2025-01-22 09:04:54
402,15203,9424,Completed,Cryptocurrency,2025-01-02 15:36:47
403,19599,3637,Completed,PayPal,2025-01-22 03:54:03
404,15513,6433,Failed,Bank Transfer,2025-01-06 09:35:54
405,16285,514,Failed,PayPal,2025-01-25 05:36:38
406,3201,2282,Failed,Credit Card,2025-01-22 16:06:08
407,15736,250,Failed,Bank Transfer,2025-01-04 09:27:28
408,1601,4468,Completed,Credit Card,2025-01-19 01:52:00
409,13097,8910,Completed,Bank Transfer,2025-01-28 23:03:17
410,7121,5986,Completed,Bank Transfer,2025-01-09 19:41:15
411,18434,4212,Pending,Credit Card,2025-01-12 00:12:36
412,22763,1347,Pending,Bank Transfer,2025-01-16 15:16:08
413,7727,9108,Failed,Credit Card,2025-01-29 14:13:51
414,20887,3940,Pending,Credit Card,2025-01-20 12:59:42
415,29302,1833,Completed,Credit Card,2025-01-07 23:33:01
416,21693,9696,Completed,Bank Transfer,2025-01-25 11:09:43
417,8410,1826,Failed,Credit Card,2025-01-20 08:31:01
418,1209,5208,Pending,Cryptocurrency,2025-01-10 17:14:41
419,27020,6251,Pending,Credit Card,2025-01-03 07:19:44
420,26339,9485,Pending,PayPal,2025-01-19 11:06:19
421,28093,1023,Failed,PayPal,2025-01-08 09:37:54
422,14117,694,Completed,Credit Card,2025-01-09 04:21:56
423,14111,2437,Pending,Credit Card,2025-01-15 15:17:10
424,28249,2927,Pending,Cryptocurrency,2025-01-19 01:02:30
425,17591,5981,Failed,Cryptocurrency,2025-01-13 06:43:24
426,14912,9656,Failed,Cryptocurrency,2025-01-05 18:59:31
427,16330,2881,Failed,Cryptocurrency,2025-01-11 08:23:15
428,3824,848,Completed,Cryptocurrency,2025-01-07 11:37:08
429,18728,1469,Pending,Bank Transfer,2025-01-14 13:07:58
430,3157,1200,Failed,Credit Card,2025-01-22 04:50:55
431,5839,7061,Failed,Credit Card,2025-01-28 06:16:40
432,20469,6544,Pending,Credit Card,2025-01-07 22:03:49
433,19340,7812,Failed,Credit Card,2025-01-02 02:11:42
434,29694,2561,Completed,PayPal,2025-01-20 16:33:14
435,14448,5500,Pending,Cryptocurrency,2025-01-08 18:37:11
436,18729,715,Pending,Credit Card,2025-01-11 00:23:43
437,8188,171,Completed,Credit Card,2025-01-07 08:10:50
438,15126,8551,Failed,PayPal,2025-01-18 12:31:27
