tracking_id,shipment_id,status,location,updated_at
70,24511,In Transit,West Susan,2025-01-01 08:13:17
71,12322,Out for Delivery,West Donnachester,2025-01-27 20:16:21
72,20922,Delivered,Danielside,2025-01-09 21:54:46
73,20582,Dispatched,Grayhaven,2025-01-13 09:05:05
74,24360,Out for Delivery,Lake Brandonfort,2025-01-21 22:38:36
75,4579,Delivered,Port Dean,2025-01-20 04:52:51
76,15499,Delivered,West Victorbury,2025-01-11 23:26:10
77,1163,In Transit,Jacksonport,2025-01-18 21:28:28
78,5671,Dispatched,South Charles,2025-01-19 04:07:44
79,10907,Out for Delivery,West Oliviaville,2025-01-07 17:19:04
80,14584,Delivered,New Andrea,2025-01-04 15:30:38
81,5573,Dispatched,Andrewport,2025-01-26 10:25:25
82,14841,In Transit,Jacksonmouth,2025-01-13 15:03:10
83,19334,Out for Delivery,Solismouth,2025-01-21 04:07:47
84,20489,Dispatched,Brownton,2025-01-11 14:04:05
85,2870,Delivered,Alexandrastad,2025-01-22 22:31:14
86,12024,Out for Delivery,Powellview,2025-01-12 22:54:41
87,5210,Dispatched,West Angelafurt,2025-01-04 05:01:15
88,7506,Out for Delivery,North Melinda,2025-01-17 00:04:48
89,6317,Out for Delivery,Hendrixton,2025-01-20 20:29:19
90,15854,Out for Delivery,Mitchellton,2025-01-10 10:03:46
91,1638,Out for Delivery,North Deborahview,2025-01-20 13:23:24
92,6263,Dispatched,New Chelseyland,2025-01-02 09:08:00
93,6276,Delivered,Mendezfort,2025-01-01 00:04:46
94,3247,In Transit,North Amychester,2025-01-12 13:05:33
95,12887,Out for Delivery,Rachelmouth,2025-01-05 21:13:30
96,4697,Delivered,East Noah,2025-01-18 22:40:52
97,23310,Dispatched,Natashaburgh,2025-01-24 19:01:39
98,7010,Dispatched,Port Kyleland,2025-01-05 16:31:46
99,11571,Out for Delivery,East Carla,2025-01-07 19:37:50
100,8872,Delivered,Robbinsburgh,2025-01-17 15:52:35
101,7763,Out for Delivery,Joneshaven,2025-01-06 09:38:25
102,18583,Dispatched,Morrisshire,2025-01-15 10:56:34
103,12369,Delivered,Wagnerburgh,2025-01-15 05:19:02
104,189,Delivered,Derrickside,2025-01-28 14:40:03
105,5654,Out for Delivery,Wilkinsonburgh,2025-01-28 03:12:38
106,14957,Delivered,Jeremyberg,2025-01-21 16:30:05
107,15292,In Transit,Dawnport,2025-01-21 21:25:30
108,16873,Dispatched,Williamsside,2025-01-17 18:25:28
109,24318,Dispatched,Thomasview,2025-01-05 20:24:03
110,11504,Delivered,North Billystad,2025-01-09 04:30:54
111,15761,In Transit,Lake James,2025-01-17 23:45:44
112,20118,Delivered,Cunninghamview,2025-01-26 18:34:09
113,7215,Out for Delivery,Maryview,2025-01-16 06:38:51
114,11956,In Transit,North Johnstad,2025-01-08 04:27:36
115,16636,Dispatched,Lake Charlesburgh,2025-01-07 06:26:35
116,2773,Out for Delivery,Clarktown,2025-01-13 23:27:42
117,15056,Delivered,Stephaniefort,2025-01-18 13:30:11
118,17499,Delivered,Obrienborough,2025-01-18 20:22:24
119,21832,Out for Delivery,New Kevin,2025-01-16 23:44:48
120,5187,Dispatched,Port Kayla,2025-01-30 11:26:55
121,14798,Delivered,Ashleyshire,2025-01-19 10:31:56
122,17057,Delivered,West Bradley,2025-01-18 16:49:31
123,9744,Out for Delivery,Duncanberg,2025-01-01 18:32:16
124,23036,Out for Delivery,North Matthewfort,2025-01-08 08:02:48
125,9080,In Transit,Carlahaven,2025-01-15 07:55:56
126,4351,In Transit,Sandrafort,2025-01-07 09:13:07
127,7628,Dispatched,New Elizabeth,2025-01-22 06:40:37
128,21949,In Transit,Harrisstad,2025-01-15 13:58:02
129,19395,In Transit,New Saraside,2025-01-04 06:46:06
130,4850,Delivered,Port Daniel,2025-01-23 19:03:27
131,1844,Dispatched,Riverastad,2025-01-08 18:00:39
132,11327,Delivered,New Jeffrey,2025-01-04 07:37:31
133,7218,In Transit,South Roberta,2025-01-16 22:20:22
134,14969,Dispatched,New Robin,2025-01-30 14:42:24
135,24404,In Transit,Youngmouth,2025-01-19 22:28:27
136,24901,In Transit,Elizabethfort,2025-01-07 02:38:53
137,1648,Out for Delivery,Scotthaven,2025-01-03 05:46:59
138,7030,Dispatched,East Christinechester,2025-01-09 09:33:13
139,1685,Out for Delivery,Port Makayla,2025-01-12 23:53:14
140,2753,Delivered,Sanchezberg,2025-01-16 01:11:32
141,18504,Dispatched,North William,2025-01-25 03:03:49
142,7814,Dispatched,Coleborough,2025-01-24 14:40:24
143,24560,In Transit,Castrofurt,2025-01-17 16:31:10
144,22766,Delivered,Lake Chadland,2025-01-16 11:58:17
145,759,Delivered,Stevensburgh,2025-01-04 14:09:19
146,14812,In Transit,Cynthiaport,2025-01-04 13:26:13
147,12680,Dispatched,Antoniochester,2025-01-26 19:17:17
148,22671,Dispatched,Helenmouth,2025-01-09 04:51:17
149,9236,In Transit,West Susan,2025-01-26 23:35:49
150,21420,Out for Delivery,Rickyfort,2025-01-19 07:17:17
151,21191,Delivered,Melissaberg,2025-01-23 10:57:24
152,3868,Delivered,South Alison,2025-01-25 00:46:33
153,1711,Out for Delivery,Danielhaven,2025-01-26 05:55:47
154,15507,Out for Delivery,Port Jameschester,2025-01-11 00:38:56
155,18934,Dispatched,West Thomas,2025-01-05 00:02:07
156,17600,Out for Delivery,Port Jaimeside,2025-01-15 19:23:47
157,6047,Dispatched,Lindaland,2025-01-06 06:32:35
158,24952,In Transit,Hensleyberg,2025-01-15 08:28:32
159,24702,Out for Delivery,East David,2025-01-14 03:27:24
160,10780,Dispatched,Kellerchester,2025-01-07 03:53:50
161,21516,Delivered,Port Kimstad,2025-01-30 14:45:17
162,19990,In Transit,Susanland,2025-01-13 19:25:20
163,22894,In Transit,South Blakemouth,2025-01-19 20:17:34
164,1965,In Transit,Emilybury,2025-01-07 04:46:25
165,5528,In Transit,North Mary,2025-01-18 05:12:19
166,20968,In Transit,Brownborough,2025-01-29 07:38:04
167,2153,Out for Delivery,New Theresa,2025-01-04 10:31:15
168,21940,Delivered,Joshuastad,2025-01-28 13:34:16
169,19149,Delivered,North Wendymouth,2025-01-18 13:32:03
170,3212,Out for Delivery,West Brandonborough,2025-01-14 15:00:41
171,12057,Delivered,South Krista,2025-01-30 06:26:48
172,7011,In Transit,Gibbsberg,2025-01-11 12:49:25
173,2242,In Transit,North Kevinside,2025-01-11 05:52:53
174,18033,In Transit,New Julie,2025-01-14 13:24:25
175,24164,Out for Delivery,Arroyoside,2025-01-08 11:21:33
176,488,Dispatched,Duanehaven,2025-01-22 08:21:39
177,687,Out for Delivery,Vanghaven,2025-01-18 11:35:33
178,7831,Delivered,New Mitchell,2025-01-02 18:08:50
179,15165,In Transit,West Sydney,2025-01-16 14:44:11
180,19391,Out for Delivery,North Christyville,2025-01-26 12:41:45
181,1255,Out for Delivery,Mcguirechester,2025-01-28 14:21:06
182,6864,Out for Delivery,Hollyville,2025-01-30 02:28:35
183,6957,In Transit,Johnton,2025-01-05 11:46:07
184,18929,Out for Delivery,Saraland,2025-01-23 13:03:38
185,14576,Dispatched,Victoriafurt,2025-01-04 21:15:41
186,924,Delivered,Brucehaven,2025-01-08 15:51:34
187,18457,Out for Delivery,East Kristineport,2025-01-23 07:32:56
188,2028,Delivered,New Brucehaven,2025-01-02 15:18:55
189,19534,Out for Delivery,East Nancy,2025-01-22 07:18:54
190,13363,In Transit,Lindaport,2025-01-22 21:25:40
191,19837,Out for Delivery,Nicholasfurt,2025-01-02 18:50:18
192,10722,Out for Delivery,Lake Kimberly,2025-01-12 00:44:05
193,16139,Out for Delivery,East Austin,2025-01-10 15:50:10
194,21009,Delivered,Aguilarside,2025-01-13 16:02:36
195,19234,Out for Delivery,Johnsonborough,2025-01-04 21:24:42
196,6079,Delivered,New Kylemouth,2025-01-04 14:40:03
197,19534,Out for Delivery,Ginatown,2025-01-26 06:24:31
198,9219,Out for Delivery,Lake James,2025-01-08 13:00:24
199,7493,Dispatched,Port Angelaborough,2025-01-11 06:08:07
200,3412,Dispatched,Taylorfort,2025-01-01 22:45:50
201,20699,Delivered,West Kurt,2025-01-27 12:45:10
202,9064,Dispatched,Patrickberg,2025-01-28 04:40:10
203,4884,In Transit,Dustinfurt,2025-01-11 10:10:14
204,23627,Delivered,Hartchester,2025-01-25 02:25:16
205,4452,Delivered,Jenningsville,2025-01-23 19:49:55
206,8375,Out for Delivery,Grayborough,2025-01-12 23:41:52
207,18347,Delivered,Heathershire,2025-01-25 19:21:18
208,10534,Dispatched,Nancybury,2025-01-14 02:35:34
209,5611,Out for Delivery,Amandaton,2025-01-06 20:32:50
210,21900,Delivered,Newmanport,2025-01-15 04:32:08
211,24011,Dispatched,New Dianeport,2025-01-29 22:58:22
212,3534,Delivered,Lake Andrewshire,2025-01-29 16:16:20
213,5913,In Transit,Anthonyport,2025-01-15 08:31:02
214,21254,Out for Delivery,Herreraborough,2025-01-07 00:28:23
215,4877,Out for Delivery,North Brianshire,2025-01-17 20:36:21
216,4439,Delivered,Youngshire,2025-01-12 05:09:44
217,18252,In Transit,North Gregory,2025-01-22 06:45:13
218,7851,Out for Delivery,Brookeside,2025-01-20 09:19:55
219,23052,Out for Delivery,Lake Jessicaton,2025-01-11 06:54:49
220,2691,In Transit,North Seanmouth,2025-01-17 20:09:41
221,10264,Dispatched,East Aaron,2025-01-20 18:20:20
222,12494,Out for Delivery,Kathrynmouth,2025-01-09 22:33:34
223,16193,Out for Delivery,Port Tracy,2025-01-07 15:00:28
224,4229,In Transit,South Dakota,2025-01-13 06:26:54
225,8943,Delivered,South Susanchester,2025-01-02 18:10:27
226,16168,Out for Delivery,Arthurmouth,2025-01-14 16:06:33
227,16102,In Transit,North Brittany,2025-01-10 05:39:58
228,12028,Out for Delivery,Craigfurt,2025-01-11 22:16:01
229,24130,Delivered,Warrenchester,2025-01-13 08:09:19
230,16136,Dispatched,Lake Deborah,2025-01-20 01:08:44
231,1245,Dispatched,South Stephenshire,2025-01-12 00:56:24
232,22760,Dispatched,Lake Matthewburgh,2025-01-22 05:02:03
233,12773,Out for Delivery,Stephanieview,2025-01-05 08:51:08
234,7305,Out for Delivery,Lewismouth,2025-01-18 01:47:22
235,19033,Delivered,Dianachester,2025-01-24 04:08:40
236,7774,Out for Delivery,Hollybury,2025-01-10 23:17:06
237,21214,Delivered,Shannonbury,2025-01-05 04:23:12
238,839,Delivered,East Kimberlyland,2025-01-07 05:28:45
239,21347,In Transit,Port Erin,2025-01-08 15:56:57
240,7959,In Transit,Gilbertfort,2025-01-18 09:51:34
241,18885,Dispatched,Matthewside,2025-01-19 00:59:37
242,5363,Out for Delivery,Alyssaville,2025-01-25 19:13:53
243,17800,Delivered,Wardfort,2025-01-22 12:37:50
244,7592,Out for Delivery,Robynhaven,2025-01-10 20:19:47
245,10207,Dispatched,Lake Hannah,2025-01-25 09:14:52
246,5429,Out for Delivery,Lake Andreview,2025-01-24 16:59:26
247,13137,Delivered,New Julietown,2025-01-07 00:46:20
248,22037,In Transit,North Danielview,2025-01-12 19:26:43
249,2417,In Transit,Martinezshire,2025-01-03 07:28:10
250,23610,Dispatched,Evansborough,2025-01-17 20:35:17
251,21612,Delivered,Spencerburgh,2025-01-25 17:26:35
252,4540,Delivered,New Nicholas,2025-01-01 21:37:12
253,19688,Out for Delivery,South Robertland,2025-01-17 14:58:24
254,3639,In Transit,Jorgeland,2025-01-08 21:13:53
255,18741,Delivered,Lake Nicole,2025-01-05 20:42:29
256,4589,Delivered,Parkerbury,2025-01-03 23:46:22
257,6936,Dispatched,West Toddberg,2025-01-10 00:19:17
258,12315,In Transit,Laurafurt,2025-01-17 23:20:47
259,5057,Out for Delivery,Charlesview,2025-01-11 00:16:22
260,3704,Dispatched,Ramirezview,2025-01-19 20:36:55
261,22082,In Transit,Port Catherine,2025-01-12 11:51:19
262,21848,Out for Delivery,North Julia,2025-01-03 21:13:43
263,16177,Out for Delivery,Adkinstown,2025-01-29 06:33:27
264,9326,Out for Delivery,Hardinville,2025-01-19 11:36:25
265,20712,Out for Delivery,Danielside,2025-01-02 21:27:09
266,5016,Out for Delivery,Greenefurt,2025-01-26 13:18:28
267,16968,In Transit,Lawrencetown,2025-01-26 06:55:39
268,22548,Dispatched,Matthewtown,2025-01-16 10:16:56
269,18722,In Transit,New Michael,2025-01-18 03:18:58
270,9557,Delivered,Port Jackiefurt,2025-01-11 21:55:23
271,15257,Out for Delivery,East Danielville,2025-01-06 18:44:09
272,17175,Delivered,North Timothy,2025-01-18 21:31:02
273,16686,Delivered,Allenfort,2025-01-03 16:36:07
274,14805,Dispatched,Lake Richardchester,2025-01-29 21:40:17
275,18514,Delivered,Macdonaldside,2025-01-16 11:49:33
276,8487,In Transit,Sarahview,2025-01-25 15:04:28
277,20048,Dispatched,South Kelly,2025-01-30 08:23:09
278,23939,Delivered,East Oscarmouth,2025-01-30 15:25:50
279,18043,Dispatched,Port Stephenfurt,2025-01-01 08:57:59
280,3088,Dispatched,Toddberg,2025-01-28 14:21:46
281,359,Delivered,Lake Patriciaville,2025-01-18 21:04:18
282,22501,In Transit,West Kyleland,2025-01-04 23:59:02
283,11239,In Transit,Lake Laurastad,2025-01-09 13:41:31
284,4047,Dispatched,Lake Natasha,2025-01-05 14:18:28
285,4130,In Transit,New Markville,2025-01-04 05:47:11
286,21993,In Transit,East Kristinaland,2025-01-07 10:57:46
287,14127,Out for Delivery,Frankland,2025-01-18 14:26:58
288,4754,Delivered,Angelicaburgh,2025-01-24 23:41:57
289,160,Delivered,Jeremyburgh,2025-01-12 07:01:47
290,5963,In Transit,Briantown,2025-01-18 12:55:13
291,23695,Delivered,Sullivanland,2025-01-25 13:08:20
292,4451,Dispatched,Henryhaven,2025-01-13 12:09:44
293,10308,Out for Delivery,Jaredville,2025-01-02 02:28:41
294,14462,In Transit,South Russellhaven,2025-01-05 06:15:01
295,3676,In Transit,Hernandeztown,2025-01-11 03:58:40
296,22602,Delivered,Zacharyhaven,2025-01-02 02:55:34
297,21024,Delivered,Port Kellyborough,2025-01-04 00:26:24
298,15529,Delivered,Gonzalezmouth,2025-01-01 16:03:32
299,23835,Delivered,Fosterville,2025-01-25 01:00:23
300,15009,Delivered,Port Hannahmouth,2025-01-22 15:36:11
301,14474,In Transit,Port Brenda,2025-01-24 08:14:06
302,5698,In Transit,Justinport,2025-01-21 22:01:50
303,22575,In Transit,Port Jenniferbury,2025-01-19 02:11:54
304,6219,In Transit,Kellyborough,2025-01-14 23:42:30
305,15481,Out for Delivery,Ryanburgh,2025-01-08 04:46:24
306,4767,Delivered,Meganborough,2025-01-04 09:13:33
307,6465,Dispatched,Pagehaven,2025-01-11 15:38:46
308,13570,Out for Delivery,Port Jenniferberg,2025-01-22 17:52:27
309,19472,Dispatched,North Lori,2025-01-21 14:56:33
310,3354,In Transit,Port Jamesberg,2025-01-15 19:16:30
311,17335,Dispatched,Christopherhaven,2025-01-11 03:31:19
312,22173,Out for Delivery,Scottfort,2025-01-23 09:46:26
313,15280,Out for Delivery,Bentonmouth,2025-01-03 14:53:26
314,5993,Out for Delivery,North Benjamin,2025-01-12 02:09:58
315,13252,Delivered,Smithburgh,2025-01-05 17:20:05
316,7608,In Transit,Jeffreyfort,2025-01-23 05:31:34
317,4517,Dispatched,East Michelefort,2025-01-23 06:47:20
318,16493,Out for Delivery,Gibsonbury,2025-01-17 19:51:56
319,19337,Out for Delivery,West Timothystad,2025-01-22 06:45:09
320,13883,In Transit,West Stevenmouth,2025-01-14 23:49:59
321,18003,Out for Delivery,Tracyview,2025-01-08 00:33:26
322,1831,In Transit,New Reneeville,2025-01-22 15:34:30
323,4701,Delivered,West Louisburgh,2025-01-27 02:35:37
324,14412,Dispatched,Kentburgh,2025-01-09 15:43:49
325,4887,Delivered,East Tiffany,2025-01-07 05:17:12
326,16092,Dispatched,Port Johnmouth,2025-01-03 03:50:22
327,9259,Out for Delivery,Lake Davidborough,2025-01-30 13:46:59
328,11759,Out for Delivery,Port Jennifer,2025-01-25 22:23:27
329,10629,Dispatched,Ryanmouth,2025-01-14 11:56:15
330,5963,Out for Delivery,Bennettstad,2025-01-02 18:37:57
331,3536,In Transit,Port Jasonville,2025-01-19 08:28:49
332,5729,Dispatched,Lake Melindaville,2025-01-11 05:07:05
333,1797,Dispatched,Lake Victor,2025-01-15 11:16:47
334,21304,In Transit,New Nathanville,2025-01-16 15:20:46
335,15752,In Transit,Alexanderport,2025-01-09 13:28:59
336,722,In Transit,Jasonview,2025-01-04 09:36:42
337,16683,Out for Delivery,Millermouth,2025-01-21 01:07:41
338,10600,Dispatched,Port Melissabury,2025-01-03 15:14:40
339,1788,Out for Delivery,Victoriastad,2025-01-03 13:06:36
340,3195,Delivered,Amandaburgh,2025-01-04 03:50:46
341,8181,Dispatched,Susanhaven,2025-01-15 10:48:05
342,34,Delivered,Lindseyshire,2025-01-29 12:10:54
343,13216,Delivered,West Amandaton,2025-01-29 21:09:25
344,14179,In Transit,Ericksontown,2025-01-25 08:31:07
345,15693,Delivered,New Brendaburgh,2025-01-03 12:35:49
346,591,Delivered,West Chelseabury,2025-01-27 03:58:17
347,1996,Delivered,Port Derrickhaven,2025-01-16 18:20:53
348,19175,In Transit,South Carrie,2025-01-03 02:42:10
349,24520,In Transit,South Daniel,2025-01-30 03:12:28
350,15247,Dispatched,Stevensmouth,2025-01-05 03:33:44
351,12840,In Transit,South Kathryn,2025-01-03 20:43:17
352,13122,Dispatched,Port Jonathan,2025-01-21 12:14:59
353,5725,Dispatched,Walkerfurt,2025-01-05 03:33:20
354,22347,Dispatched,West Marychester,2025-01-13 07:48:50
355,17600,Out for Delivery,East Lori,2025-01-18 20:04:45
356,846,Delivered,Williamsberg,2025-01-18 19:33:27
357,23482,Delivered,Tanyabury,2025-01-10 02:00:56
358,2269,Out for Delivery,Amandabury,2025-01-19 06:58:29
359,21606,In Transit,Lake Jasonmouth,2025-01-17 01:27:35
360,18258,Out for Delivery,Wilsonmouth,2025-01-30 12:34:51
361,16332,Dispatched,South Lindafurt,2025-01-13 22:39:06
362,1918,Dispatched,Morrisfurt,2025-01-08 15:16:55
363,13987,In Transit,Mullenbury,2025-01-15 18:16:01
364,6379,Out for Delivery,Kendraborough,2025-01-16 19:31:22
365,16088,Out for Delivery,South Seanstad,2025-01-29 05:27:11
366,24276,Out for Delivery,Travisshire,2025-01-02 02:21:42
367,21292,Out for Delivery,New Tamarachester,2025-01-12 10:26:07
368,17004,Delivered,Chanmouth,2025-01-27 17:54:40
369,4177,Dispatched,New Lisaberg,2025-01-20 13:43:25
370,19160,Out for Delivery,Hicksview,2025-01-30 15:02:21
371,5023,Delivered,Lake Kevinview,2025-01-01 17:11:55
372,13631,Dispatched,North Matthew,2025-01-20 01:58:24
373,15808,In Transit,Williamsland,2025-01-27 00:59:00
374,3059,Out for Delivery,Mcdonaldberg,2025-01-25 04:22:03
375,480,Delivered,Ashleyview,2025-01-22 20:16:02
376,21825,Delivered,South Laurenside,2025-01-24 14:46:20
377,19615,Delivered,Port Debraburgh,2025-01-01 13:42:14
378,3206,Out for Delivery,Christopherport,2025-01-23 17:06:31
379,3942,Out for Delivery,Milesmouth,2025-01-19 23:30:16
380,10485,Out for Delivery,Wardborough,2025-01-20 08:53:36
381,24502,Dispatched,Chavezland,2025-01-18 22:09:05
382,20448,Delivered,South Kathryn,2025-01-10 17:33:03
383,4861,In Transit,Leefurt,2025-01-09 02:03:41
384,17795,Delivered,New Bradleyhaven,2025-01-09 11:06:51
385,12622,Dispatched,New Michelle,2025-01-12 03:48:46
386,10856,In Transit,New Michelle,2025-01-19 18:25:55
387,1573,Dispatched,East Matthew,2025-01-08 03:26:14
388,13806,Dispatched,Lake Hunterbury,2025-01-16 21:56:07
389,5778,In Transit,Grantside,2025-01-22 16:43:50
390,13899,Dispatched,Christinaton,2025-01-28 03:53:00
391,9583,Dispatched,Olsonhaven,2025-01-09 13:54:26
392,5828,Delivered,New Justinland,2025-01-07 04:10:14
393,5518,Delivered,Davidland,2025-01-05 17:42:48
394,12692,Out for Delivery,Barkermouth,2025-01-19 22:42:12
395,1306,Dispatched,North Robert,2025-01-23 05:51:20
396,6356,Dispatched,New Juan,2025-01-05 02:58:32
397,9887,Delivered,Lake Christophershire,2025-01-23 00:33:04
398,9253,In Transit,East Geraldburgh,2025-01-07 06:54:11
399,8202,Dispatched,Lake Donna,2025-01-29 06:13:40
400,22573,In Transit,Tuckerfurt,2025-01-09 04:08:41
401,12859,In Transit,Port Maria,2025-01-05 12:11:19
402,15305,Delivered,Nicholaston,2025-01-28 00:09:03
403,15792,Dispatched,Bakerstad,2025-01-20 09:01:02
404,15846,Dispatched,Goodwinshire,2025-01-14 14:09:47
405,3034,Delivered,Randallberg,2025-01-15 19:24:17
406,9068,Dispatched,West Jenna,2025-01-05 11:08:50
407,15930,Delivered,Lake Davidstad,2025-01-03 00:26:04
408,17768,Delivered,Lake John,2025-01-09 14:56:02
409,22400,Out for Delivery,Carrollborough,2025-01-04 20:05:35
410,2779,Out for Delivery,Rogerbury,2025-01-27 21:40:21
411,5480,Out for Delivery,Brianside,2025-01-16 01:31:58
412,3839,Out for Delivery,East Brittany,2025-01-05 09:08:17
413,3285,Delivered,Chanstad,2025-01-29 14:02:43
414,16967,Out for Delivery,New Linda,2025-01-18 04:10:51
415,22897,Out for Delivery,Port Sophiastad,2025-01-26 07:08:07
416,19593,In Transit,Cervantesville,2025-01-09 05:42:43
417,16809,Delivered,Kimberlymouth,2025-01-30 07:54:15
418,13577,Delivered,South Williamview,2025-01-05 18:27:51
419,23087,In Transit,South Kimberlyfort,2025-01-23 13:23:42
420,6552,Delivered,South Tylerland,2025-01-01 11:14:27
421,11478,Delivered,Mccannshire,2025-01-03 07:55:57
422,3429,In Transit,Oscarhaven,2025-01-03 17:02:27
423,7053,Out for Delivery,Cynthiaville,2025-01-21 09:05:11
424,22860,In Transit,Ryanside,2025-01-25 14:13:06
425,9214,Out for Delivery,Hernandezmouth,2025-01-22 04:36:52
426,18777,In Transit,Whiteside,2025-01-22 04:40:56
427,2114,Dispatched,East Richard,2025-01-08 13:12:30
428,10127,Delivered,New Ricardo,2025-01-19 03:33:43
429,11185,Delivered,Longmouth,2025-01-02 05:32:13
430,11220,Dispatched,North Sarah,2025-01-02 09:20:57
431,9198,Dispatched,East Johnbury,2025-01-14 04:54:02
432,20646,Out for Delivery,Dickersonshire,2025-01-13 10:24:30
433,13465,In Transit,South Darrenfurt,2025-01-06 16:43:01
434,5378,In Transit,Tylerville,2025-01-26 07:09:26
435,3868,Out for Delivery,Patrickhaven,2025-01-26 16:03:57
436,16196,In Transit,Jamesbury,2025-01-08 04:54:21
437,2192,In Transit,North Stephenton,2025-01-19 05:51:23
438,3577,Delivered,Clarkeland,2025-01-26 13:06:50
439,22414,Out for Delivery,Sharonstad,2025-01-08 17:24:30
440,4511,In Transit,North Amyview,2025-01-10 00:16:30
441,2151,Out for Delivery,East Scott,2025-01-15 05:24:54
442,9876,In Transit,North James,2025-01-24 16:12:37
443,6128,Delivered,Jonathanfort,2025-01-02 21:53:19
444,6447,Out for Delivery,Griffinbury,2025-01-20 20:02:20
445,16365,Dispatched,Port Sandra,2025-01-02 20:14:14
446,1481,Out for Delivery,Dyerview,2025-01-28 18:56:03
447,17912,Out for Delivery,South Timothy,2025-01-11 04:42:43
448,10929,Dispatched,North Brianchester,2025-01-04 20:28:43
449,13824,Dispatched,Lake Michael,2025-01-13 02:28:56
450,2758,In Transit,Port Casey,2025-01-29 08:49:41
