shipment_id,order_id,shipping_method_id,tracking_number,estimated_delivery
67,22554,3,301c439b-6a97-407d-86fa-93506fd7e2f0,2025-02-20 23:01:58
68,6211,3,537507a4-f9ae-4c96-b916-2af955bb4314,2025-02-14 00:51:05
69,23894,3,640c5e22-8c50-46ba-80bc-a925c4dde204,2025-01-30 22:59:36
70,18569,5,d15ac060-9ba2-4f6b-b190-f6a59dbc0c96,2025-02-06 12:37:43
71,14541,2,fc004590-b699-412a-82a3-d82bff9e5899,2025-02-16 06:23:29
72,8309,3,ab61f3a4-c97d-446f-97de-569f323bc2b4,2025-02-07 01:11:16
73,2575,5,dff48551-72d0-41de-b27c-dba320dd6b57,2025-02-11 03:00:50
74,16019,2,b8009321-afe8-4a7f-99b4-db82dc37841e,2025-02-10 22:41:28
75,12173,4,da64fbac-1572-4f6e-9cd9-45b5c275b184,2025-02-28 07:19:35
76,12032,2,2704b44e-d144-43c8-b12e-171b91ea95a9,2025-02-24 07:50:25
77,963,3,5c3200c4-d66f-472d-81eb-a9dbbe59210b,2025-02-28 05:11:41
78,6455,3,aaa2b344-1faa-45bf-9a44-70f6d346ddd1,2025-02-27 15:17:57
79,29144,4,fc5b64f7-75ef-4ee4-b1b9-dc846b745716,2025-02-25 11:02:49
80,24341,4,7471b277-0003-4992-8543-46a6abfb94d5,2025-02-19 00:27:46
81,21801,1,d8de91ee-ebbe-49ef-9a04-745b00f0670d,2025-02-24 07:05:40
82,2808,4,d73eed1e-12fb-4a94-b3ec-66c9801d188a,2025-02-07 17:13:47
83,27363,3,cc200dd0-962f-46d3-bd8d-f8fd589fad71,2025-02-07 11:12:16
84,4847,5,1c5abb1e-9d38-4e78-a595-40816e542989,2025-02-02 03:15:02
85,20103,2,2264f24c-c518-43b1-b6b3-1cc8cec45256,2025-02-01 20:48:49
86,17773,3,550e0654-8f2a-41db-bec8-221411d9b86e,2025-02-10 18:19:01
87,3660,4,9165ebe5-8fd1-4e59-9c5e-837584c00df1,2025-01-31 23:14:34
88,19178,1,6b100473-9ca6-4b26-a169-2292fa025dcb,2025-02-14 15:09:30
89,20361,5,6ca8e7b2-9789-4296-86e0-b30635ecf614,2025-02-08 01:23:25
90,11001,5,703bc872-960c-41d3-88b2-5308fb4ecd0e,2025-02-04 13:04:00
91,9780,5,8b3ea6cd-ff09-4519-807d-9e0238eaa59c,2025-02-04 11:56:51
92,27734,3,b43e0b41-efff-4a3f-835e-a296f3d46157,2025-02-10 03:31:48
93,832,4,b6f97dc8-fb21-41a2-b014-438610601e33,2025-02-03 02:22:24
94,16101,5,d177524d-d0e6-4814-b23e-dd4b0721de9f,2025-02-11 01:05:44
95,3775,3,2fa5fd01-9724-484a-985a-9a92f1938410,2025-02-03 12:02:12
96,13338,1,8060420f-1c7a-4c28-8044-09bcce1c7267,2025-02-18 14:31:23
97,8196,5,667dd6b3-2d81-4f98-b7e6-c906aafb2a2e,2025-02-23 05:35:11
98,7826,5,8f107731-b468-4c9c-a3dd-ac970588f2a9,2025-02-02 01:29:24
99,17526,4,bc82c1fa-8201-479d-b66c-d5d2b2fe0b5e,2025-02-11 08:49:00
100,15229,2,a932a72e-d24e-46c3-824d-7b7e00641580,2025-02-20 17:56:22
101,21459,1,c3e2fa9b-e792-4532-ba56-de05ebb93920,2025-02-20 12:21:40
102,1173,2,3f232dec-6e4d-41dc-bb08-67ece252e470,2025-02-14 00:47:44
103,4236,4,ba7ad737-b523-4d81-8875-f56a76245962,2025-02-15 01:40:56
104,2691,3,73cdd14c-008b-4863-8755-2d2c6377382b,2025-02-24 15:28:00
105,8399,2,48135b6b-858d-4092-a82c-51471d5a2431,2025-02-18 15:27:14
106,4879,5,4c3ff1d5-186d-4b5a-8e31-724915ed5b2a,2025-02-17 04:04:56
107,14815,3,58e0be68-9e40-4ac9-b2f8-a50cdcbe49e0,2025-02-06 02:58:58
108,16246,1,f49ea360-550f-4c18-9514-c59070da7591,2025-02-06 12:44:52
109,17618,1,db750ecf-829a-4b1d-be00-e55d78b34421,2025-02-23 12:54:54
110,7824,2,799902e7-d6ff-493b-9cc3-2fc3ce7611fe,2025-02-24 00:30:23
111,19902,4,786a0b75-0995-4c4c-9588-dc66b1e3f869,2025-02-27 04:04:03
112,12214,5,927da84b-b665-4154-94a3-75283f9dc279,2025-02-02 07:50:04
113,28681,1,986995f7-7bbf-44f6-ac2e-69835ef38634,2025-02-27 17:43:31
114,17896,5,bd1d7d2e-6fc7-4627-9b75-94e450b19411,2025-02-12 22:44:17
115,28561,1,8d364145-fce5-4db8-8f2d-40e926d9f818,2025-02-08 14:19:03
116,2389,4,9088045a-e0e0-4cbb-989c-4d1ae4f73606,2025-02-09 03:52:29
117,1529,5,d5be4d58-572f-463d-ad7b-d7c333ffd7a8,2025-02-22 04:53:15
118,21276,3,6b1e458d-9517-483a-80fa-595cc42fd866,2025-02-04 22:06:05
119,21637,5,f7990dc8-8d22-4cc1-9473-57c60719c6a8,2025-02-06 19:27:14
120,9613,5,a8879851-eb66-4296-93d7-9c086078e1d6,2025-02-20 18:36:46
121,7481,1,83522a07-d74e-463e-846a-194ceaa06006,2025-02-14 22:03:23
122,19898,5,f5d6dc0a-8502-47ab-8df8-9ab8bff2939b,2025-02-07 23:32:30
123,15458,1,f36c070c-1c03-45a8-924e-6443d3fa6a4e,2025-02-26 02:07:17
124,3320,1,7bb5eede-edee-4e5b-adf7-f0cc86c5bff4,2025-02-08 01:36:48
125,20298,1,fce0bbfb-c9c5-4984-97b0-56ae3d9647e5,2025-02-14 16:58:23
126,25260,1,d4a14fb5-71e5-42df-80e8-c98efd399a5c,2025-02-11 11:07:36
127,9970,2,6e160ddf-729c-442d-86d8-e51306fd39da,2025-02-17 19:43:36
128,3607,2,da39bb91-b40d-4ec8-890c-8db91bd292d7,2025-02-15 07:53:16
129,11470,4,53a777e1-7d97-4edf-8686-47cf85cbb17b,2025-02-07 00:15:37
130,27349,3,c8e4d039-d0de-4570-a68f-d3defb857ef8,2025-02-18 21:36:57
131,17083,4,7b190ab5-6d61-47cb-b4b6-742218bcf99a,2025-02-23 07:52:33
132,13556,2,2cbb8aa1-07a4-434e-bdfe-0ca6eb39223f,2025-02-20 08:46:01
133,25850,3,d07b55de-a216-45c2-a722-7e77bd664932,2025-02-10 13:12:10
134,15344,4,47d79ca9-c11e-45cc-a291-56462782d4ce,2025-02-26 05:31:16
135,20877,2,fc27a8c2-ac02-4ec3-8d48-70cb72586a2b,2025-02-06 11:41:48
136,3783,2,e26ba2b6-ae8b-4e54-9d31-900d105c4123,2025-02-26 06:24:15
137,2018,3,71be77e4-15b5-486c-aa1d-b132cbfedf45,2025-02-17 15:00:02
138,14522,3,2406043b-51d6-4142-82f9-13525688f53b,2025-02-08 16:35:19
139,28706,5,9135b108-e121-4fa7-be6e-207fe055fcea,2025-02-28 22:41:28
140,16314,4,b539af0c-9fc9-4f01-9af2-e3a447dd8aad,2025-02-19 23:54:20
141,21982,5,2430c169-0c43-41ce-bfda-383b98716297,2025-02-22 10:23:56
142,11475,3,cc71ec7b-298d-4989-80f0-b2fa5ecbbf0f,2025-02-24 09:53:05
143,2423,3,148874b4-ad7a-4324-bc70-05cf2461f554,2025-02-16 10:13:19
144,28132,1,0383da41-628b-4b09-95de-21240cd5446e,2025-02-14 20:28:39
145,10425,5,d877def0-529e-4cd1-b733-e3722166cbb4,2025-02-02 12:40:05
146,19205,1,94ce918e-80e6-419e-b8e8-4cb95c91d99b,2025-02-22 19:31:37
147,29718,1,4bb43312-1331-4851-96e4-bb206a01872f,2025-02-27 01:41:42
148,27811,4,1987293a-13c2-41e1-afed-899799231592,2025-02-24 04:28:08
149,5968,5,45d21dda-96ae-4063-8411-e08541858c5c,2025-02-17 11:00:44
150,8974,2,3f0e9ed9-e9b9-45f9-8ba6-b7350518085f,2025-02-05 00:56:19
151,26745,1,92def529-9d37-4d95-b2d8-63efed59791a,2025-02-24 05:24:24
152,11755,1,0fc80466-059b-489f-af0e-b55d82a86dc5,2025-02-14 23:09:10
153,12859,3,cad7f32c-9145-443b-b111-061242cab195,2025-02-20 02:36:32
154,9044,4,0d91e7ed-6539-4526-bff4-010acc6cb9f7,2025-02-17 13:05:04
155,25270,5,f351bf81-df66-40f2-aa67-9a2cd142f82f,2025-02-12 00:08:25
156,29014,2,ae5709a6-2f91-4368-8032-8c10bd1e993b,2025-02-25 17:18:03
157,24125,5,9f0bc5b3-fcda-4a5c-bc04-18a05e1b22cd,2025-02-27 15:08:02
158,24714,1,bc2cd6f6-dbde-4fcf-aca0-acb48b2e83e3,2025-02-21 16:10:33
159,11432,3,83a5d394-d7e2-4ce4-9c61-9162e8c578b3,2025-02-14 07:07:02
160,11138,3,58f68c44-83e3-4b9f-a1ed-1468e6cc3ce5,2025-02-25 01:49:55
161,18284,3,8d0a0219-5c08-4c49-b75d-7808e5385398,2025-02-28 02:24:37
162,22280,5,c486eb06-a5a4-410f-a1b1-57952313628e,2025-02-25 13:38:04
163,29643,1,cbb52692-818f-4e70-9a5a-a17da50ad511,2025-02-04 21:11:29
164,4539,2,f487c920-5824-4e94-9545-4894cfb178b6,2025-02-18 12:51:10
165,7809,5,ac12a34b-556b-4c27-a6a4-6f6aa31e40b1,2025-02-17 15:26:25
166,12011,4,36cfa550-015f-407d-914c-4cad67245c5d,2025-02-18 12:20:30
167,7621,2,763aa8c5-e381-43ea-862e-eafb5ae75c74,2025-02-19 22:55:36
168,16248,2,8ba5bd82-0e21-4a75-9143-bcf9c916bdae,2025-02-14 21:32:23
169,13621,2,b7fdcb1e-889a-4c10-b579-77e7f08cce8f,2025-02-18 02:52:50
170,28108,3,f2bf11e5-d347-42ec-9d24-3bd90d8cf2d8,2025-02-17 23:15:11
171,16265,4,439480e0-2ce1-4916-abfa-b6f4b2b9e245,2025-02-22 16:54:40
172,7791,4,040f8520-f174-4e17-81ca-1598644bd80a,2025-02-04 00:32:15
173,10675,1,fae47c37-fd59-434f-8d1b-ace20fc9f52d,2025-02-07 21:09:14
174,21499,4,46d35a12-cd76-4c54-862b-480d1d2c6ded,2025-02-26 01:31:00
175,3289,2,cffb3325-fdb6-48ed-9832-c1349e553371,2025-03-01 00:02:56
176,19763,2,0dd13b0a-3ae0-4a4f-9d02-b0a1961a728c,2025-02-21 20:19:36
177,17218,3,7f450728-bcc3-4bd7-9d84-da693ec60a6a,2025-02-14 03:07:11
178,1260,2,1613d397-1d4b-4820-88a5-9e9e759a8c6e,2025-03-01 11:23:31
179,11854,1,7946bd93-8bcc-4453-ae1b-08071db17ece,2025-02-28 08:44:14
180,12974,2,d9a02fda-39fa-4f41-bc04-cd344cc52441,2025-02-24 05:52:10
181,25913,2,c6902067-3749-4fb7-a095-27d45621977e,2025-02-03 15:32:43
182,2277,2,206f2642-cfc4-4f8c-a240-7f9e1021a332,2025-02-02 17:57:33
183,19600,5,1a2c3919-e324-440b-a135-99559d9b750e,2025-01-31 09:56:51
184,27304,1,ce4528b5-b676-4bd5-9337-01de3ac33cf8,2025-02-10 13:00:46
185,14373,3,3f7a92a4-759e-4f36-aabb-1a3074557133,2025-02-06 18:41:35
186,17234,1,04fdcc03-dcaa-4894-aa95-829156634081,2025-02-03 07:04:27
187,9232,4,2a2c4521-c9ca-4902-9af4-44970e8c110f,2025-02-20 09:51:20
188,22063,2,726005ff-1054-4afb-811a-13409467823c,2025-02-27 12:05:59
189,28658,3,3f9715cf-bc8e-421e-acd5-72030807a8dd,2025-02-16 22:17:45
190,2625,1,8a9c1c50-eb4c-47ef-a1ad-c1142e445ccf,2025-02-25 09:39:25
191,21302,1,7788470a-7e54-47f8-b0c3-c3c7a66649e8,2025-02-24 04:41:59
192,17867,1,ed2873ad-0750-4d35-9671-58cce35093a3,2025-02-20 15:37:55
193,26180,4,27915760-a275-4652-bff4-4b711d04def5,2025-02-20 14:45:38
194,27241,5,acfe9c85-1850-47f5-b556-b1efab6da41e,2025-02-19 04:08:35
195,14553,2,45c95d8f-99b8-47dd-aa7c-9e9a22ad5fd0,2025-02-13 05:56:46
196,19319,1,52e31ece-2b51-4ea3-b4ac-bb2258228966,2025-02-20 12:11:41
197,20673,3,26ae034e-6812-4263-9b5a-80c794527107,2025-02-05 02:55:00
198,25658,5,09025121-a44b-4770-9f19-1c2ac0f28e62,2025-02-18 07:24:07
199,10946,4,f0f056df-ef07-4081-81cd-13f5d1d1613a,2025-02-05 21:08:11
200,11375,3,89500e19-f77c-4d66-a09b-720a5883d801,2025-02-16 11:53:15
201,10455,1,169849b4-144b-42ce-9dea-6f05720be2df,2025-01-30 17:50:05
202,25096,3,c2d0adb5-710e-41b3-b46d-3e74f381fad5,2025-02-07 20:37:20
203,16493,4,c3739091-d7b5-435c-be3e-bce6226fd196,2025-02-07 00:29:38
204,19182,5,a97f8645-4101-441e-8701-2092889118fa,2025-02-05 20:11:10
205,21858,5,5f625b06-16de-441f-bd4b-4a8467112101,2025-02-28 08:03:58
206,5797,2,fb1e4a90-fb15-4b17-ad0b-8a6a5813124c,2025-02-18 16:14:32
207,27134,2,262ad353-94cc-4d5f-a072-fe467a3b94f1,2025-02-12 09:18:38
208,4921,3,f45ccc14-b4e9-401d-a822-94b56a46f4a4,2025-02-06 02:46:48
209,29597,3,a9ca33f2-81ca-452e-a586-b6d3ce6df97c,2025-02-28 14:42:51
210,4256,4,415fae4f-3376-44a5-ac0e-c49252a87106,2025-02-02 06:14:30
211,10898,5,4beb2f8a-e822-4ec2-89b3-b29e1ecc68e7,2025-02-14 14:32:48
212,2452,2,df6d72b1-1729-48b4-a078-5bcfa0e122ad,2025-02-16 18:55:56
213,28203,2,4daceb22-17f2-4269-a6ea-325fcda02a3b,2025-02-20 02:16:26
214,22859,3,908fd112-ef80-4376-b279-e2f7a7bf0927,2025-02-15 05:25:05
215,14381,2,bf25257a-88d4-4a65-83d9-0822a2159759,2025-01-31 08:56:49
216,19623,2,720f7d91-51f3-47c4-8b60-4a9354f6f9ce,2025-02-07 00:14:28
217,7732,5,076b57df-255f-444c-bf6d-19fc56b3c522,2025-02-20 22:35:04
218,2793,5,a0881fba-c915-4a59-9ca9-f0d560a4de2f,2025-02-22 10:41:04
219,9424,4,f13bac82-72d4-4e9f-b373-9fd9d36906fe,2025-02-26 08:00:26
220,14639,3,02cca955-a8d0-45b1-a101-d289e365b5f4,2025-02-17 08:08:53
221,8879,4,0dc7afe1-3116-49a7-af12-eee943022764,2025-02-06 08:48:57
222,26472,1,00fb0d21-5d11-45d5-bab2-84968057bf49,2025-02-06 13:48:16
223,24520,4,2deef60b-4bee-48d6-b1b2-c52a77e80df3,2025-02-24 01:20:37
224,6562,5,ce1c3935-e194-48d2-8df3-d44852870dc6,2025-02-25 03:35:32
225,10836,5,77eb73a3-f63c-4c7d-bb60-ec722ee84a5f,2025-01-31 17:34:42
226,26192,5,00969fa1-a932-4e7f-940e-e27df634e75d,2025-02-13 11:28:17
227,22290,3,87cdd1cc-8199-4464-9e30-46f7e5383c16,2025-02-17 01:24:11
228,17888,2,efaac60b-3813-4fbf-bffc-9f80301234f3,2025-02-25 10:07:52
229,21444,3,36b99371-27ec-4d8e-a266-44e62c56e528,2025-02-09 23:59:27
230,17866,1,8a2aece0-0bde-46a9-aa0b-d2501205795b,2025-02-04 18:21:03
231,18325,5,cef3fe38-7559-4863-8c39-dd9ea4a01467,2025-02-28 17:33:15
232,4577,5,4911c740-ddad-4dfe-9b97-7ba0b6b44e74,2025-02-21 15:11:45
233,17599,1,3bd73fae-a2e7-4e6a-8432-a120967516ec,2025-02-05 22:52:05
234,6103,1,3952e979-d28f-49ac-8934-9789ffe7f802,2025-02-13 16:34:16
235,12995,3,2c295034-9384-4742-b9ee-c04fa9a6b362,2025-02-09 09:26:08
236,23996,4,e4b95186-4b93-4b1a-b033-0ae5be5fea6d,2025-02-09 22:24:22
237,20627,2,3193c6dd-2fdc-40a0-a1a5-a0d66dfd19ee,2025-02-18 08:33:28
238,24122,5,e41ec35f-590e-4ae1-a4f6-dccdd1352a25,2025-02-16 21:50:16
239,15384,4,4c2b8825-9641-40a5-a077-51cc465c059f,2025-02-17 02:45:02
240,4131,5,9047aa23-4cab-42bc-a250-400477d4691f,2025-02-18 14:58:22
241,11811,3,a6979f8f-cf68-40d4-8097-92d6cee7ff18,2025-02-25 14:48:06
242,8713,5,d1216771-c8bf-4657-9a10-dcd4003ba28a,2025-02-17 12:40:39
243,23622,5,bcd2a9b4-83d7-425e-b749-b5fae9cd35bf,2025-02-13 03:23:34
244,25704,3,976d53c0-3654-45ed-864a-1d2514ed0f3c,2025-02-05 22:17:22
245,4171,5,7da24c53-8a32-41a7-a3ad-80bf493f7596,2025-02-24 20:04:17
246,1584,2,a17d961b-9a3f-4b9b-b684-36b414151da1,2025-02-24 07:36:17
247,24274,3,1171f735-08eb-4e4c-a029-79d24033d674,2025-02-09 10:41:03
248,11444,1,05ad5a80-ef5e-4398-a03b-f883eadcb420,2025-02-06 14:37:56
249,22902,5,a3fb6b21-409e-4832-be0d-991e729eebbf,2025-02-08 09:14:24
250,11355,2,6a9c8011-fa21-424d-b51a-419631fd9458,2025-02-20 04:19:25
251,620,1,1614df47-05bb-40e9-8127-42e08e77152c,2025-02-18 19:31:06
252,11793,3,4deb285c-8fb4-4bdb-b272-3d342f7dea4c,2025-02-23 12:19:36
253,8800,3,f3c641c7-80e6-44d9-8e02-4cc2011d2cb8,2025-02-08 05:11:17
254,25939,1,c2b2100b-ab1b-4719-965f-34b3ed0ba22a,2025-02-06 02:27:47
255,12305,3,cb58fc5d-1185-44ed-a8d9-37d377929f25,2025-01-31 12:38:19
256,10728,2,a8b9c121-751c-4cdc-b303-6fe191d8eb46,2025-02-04 17:09:33
257,14891,1,a43e5569-59d4-4280-9b6a-45882c342d69,2025-02-09 14:17:41
258,6298,3,82ebdc3a-8780-45e0-88a9-5c58c6aae18b,2025-02-06 23:29:44
259,3670,3,d629417c-e177-41c8-b837-ebd9bd32b258,2025-02-21 16:39:50
260,23967,4,f6ed6f16-09ca-4920-944a-a7c35aba27fb,2025-02-22 08:16:51
261,2569,5,197670b9-b3b5-4d80-aed3-fb5298938e99,2025-02-09 13:19:04
262,14137,5,4d28ecec-0726-4db3-8c5d-b9167262b8ec,2025-02-11 19:28:31
263,24749,1,7fade887-8048-446d-a48c-0b5447be75d7,2025-02-08 23:02:20
264,20776,3,049c6354-d09e-401d-8b8d-8ae2c3edab8b,2025-02-17 12:12:52
265,26277,1,be8eccb5-41a8-49e0-b9fd-0f0c8baa1930,2025-02-18 11:26:48
266,27746,3,0afda95b-bab3-4c65-9c99-3871ea011d8b,2025-02-09 11:22:10
267,24726,5,e44dd508-86b3-4cc3-ae9e-648b0b6e2d81,2025-02-20 20:59:16
268,7701,1,a8008851-3455-4646-b23b-3f6291723cae,2025-02-19 07:13:07
269,26579,1,de5a16d2-cac7-4224-bb50-f2e682508748,2025-02-07 07:14:28
270,21928,5,cb9a8379-f3b5-4099-a841-8ba7396ce0e2,2025-02-14 08:23:04
271,16241,5,1b2f8703-4a84-4694-b65d-314844b73655,2025-02-05 04:25:13
272,20678,3,1979a78f-f06d-4a94-904b-138ab8906e2e,2025-02-10 10:16:25
273,4516,4,010f5d3b-0017-40cc-a31e-924d87429295,2025-02-02 00:33:40
274,27672,1,da514aa5-35a1-4101-8a0b-b4e6b6ca47a4,2025-02-10 04:07:50
275,19894,5,2dc8e0fb-d40d-430c-8999-38b7077c4bcd,2025-03-01 11:11:46
276,3010,5,d65ebc6d-22d4-4d41-bc13-1d80f91f6c7c,2025-02-06 03:18:08
277,25107,2,b797a8fb-4c8b-4b6d-8779-5ba49efbdcdc,2025-01-31 01:07:58
278,6698,5,c29b79eb-13c1-451f-ae57-cdc2dc2a120d,2025-02-26 07:39:56
279,380,3,502e2f29-5f2a-42fe-ba37-e001263187de,2025-02-19 03:50:29
280,4477,2,ccee2e1c-75c7-4191-bc06-52f5b7d75d2b,2025-02-14 13:29:24
281,871,1,b818f9ea-c6bb-4cf4-b961-e655707b920b,2025-02-10 20:32:37
282,17598,1,5dc6bd9a-6b13-49da-b202-36e850843218,2025-02-18 08:02:58
283,10277,1,7c217881-bf59-4fff-8f2e-233d31e4555c,2025-02-14 09:05:07
284,4683,5,a74ff960-0aa6-41d9-b3ef-e1dca9e0407e,2025-02-04 07:28:50
285,7745,3,390fb17b-fae9-42df-88b3-1a834866b0d1,2025-01-31 01:33:36
286,4368,5,ccd3a93d-a16c-42cd-a462-fc0e068ea5a2,2025-02-09 20:57:42
287,4413,4,b685559f-0565-4c83-a238-ae59259b94f3,2025-02-27 22:30:12
288,17211,5,eac7529d-eb6f-4658-a5c2-c4d648f54c48,2025-02-21 21:32:17
289,27246,3,0fd0c2db-d384-4105-a675-9c6bebfb11a4,2025-02-19 10:01:21
290,11112,4,a5610df4-2793-4b11-aab0-967a901023d9,2025-02-19 12:32:27
291,17895,4,7c023cd8-7d81-4368-b446-123f683b0f0f,2025-02-27 18:01:34
292,2791,3,9af92c50-cfb7-4cc5-9493-6cb58dd1abe9,2025-02-26 14:14:12
293,14758,1,8bad5476-8d03-4ba4-a773-4ee285a57a53,2025-02-13 12:39:03
294,2803,5,03dd3469-b8c1-4bdd-b8ca-c23e29e04a31,2025-02-01 04:25:40
295,22398,2,9adcab92-3d2a-4bb9-82e7-462c4fed55b0,2025-01-31 21:07:17
296,18446,1,540b1624-58df-4cb9-9ae3-db34d625a79d,2025-02-27 15:27:21
297,10546,4,6f0d0e7c-1974-451d-9967-e3206283efdf,2025-02-17 04:48:35
