coupon_id,coupon_code,discount_percentage,expiration_date
118,COUPON-795859,7.58,2025-09-08 16:23:02
119,COUPON-510334,25.78,2025-04-19 16:23:02
120,COUPON-884157,15.43,2025-07-29 16:23:02
121,COUPON-470931,24.49,2025-04-24 16:23:02
122,COUPON-923666,29.68,2025-04-27 16:23:02
123,COUPON-703393,21.95,2025-09-20 16:23:02
124,COUPON-152196,26.58,2025-12-20 16:23:02
125,COUPON-426013,9.57,2026-01-04 16:23:02
126,COUPON-599408,17.48,2025-11-09 16:23:02
127,COUPON-567351,6.03,2025-11-11 16:23:02
128,COUPON-648831,22.5,2025-05-05 16:23:02
129,COUPON-883094,20.56,2026-01-08 16:23:02
130,COUPON-559568,5.44,2025-08-14 16:23:02
131,COUPON-496753,14.89,2025-08-10 16:23:02
132,COUPON-139609,20.24,2025-04-18 16:23:02
133,COUPON-824549,13.36,2025-09-08 16:23:02
134,COUPON-505954,27.69,2026-01-12 16:23:02
135,COUPON-299783,16.78,2025-11-15 16:23:02
136,COUPON-852620,23.42,2025-10-15 16:23:02
137,COUPON-614926,25.63,2025-04-24 16:23:02
138,COUPON-306003,25.59,2025-12-30 16:23:02
139,COUPON-344331,14.44,2025-03-27 16:23:02
140,COUPON-140130,12.58,2025-10-27 16:23:02
141,COUPON-619312,9.25,2025-09-13 16:23:02
142,COUPON-773146,18.76,2025-08-23 16:23:02
143,COUPON-992694,10.4,2025-03-15 16:23:02
144,COUPON-488347,23.36,2025-03-04 16:23:02
145,COUPON-481525,24.67,2025-04-18 16:23:02
146,COUPON-577400,19.2,2025-07-27 16:23:02
147,COUPON-224994,28.41,2025-03-02 16:23:02
148,COUPON-693874,27.27,2025-04-15 16:23:02
149,COUPON-923641,27.1,2025-04-15 16:23:02
150,COUPON-777825,24.76,2025-07-18 16:23:02
151,COUPON-195202,18.19,2025-08-19 16:23:02
152,COUPON-784053,23.79,2025-09-05 16:23:02
153,COUPON-754958,13.22,2025-05-19 16:23:02
154,COUPON-835520,6.7,2025-09-16 16:23:02
155,COUPON-711192,18.34,2026-01-16 16:23:02
156,COUPON-356890,25.22,2025-04-29 16:23:02
157,COUPON-491911,27.1,2026-01-03 16:23:02
158,COUPON-283015,18.8,2025-12-21 16:23:02
159,COUPON-342441,18.75,2025-12-18 16:23:02
160,COUPON-934945,17.17,2025-03-31 16:23:02
161,COUPON-764438,8.46,2025-08-13 16:23:02
162,COUPON-579324,19.15,2025-12-27 16:23:02
163,COUPON-875221,28.6,2025-06-12 16:23:02
164,COUPON-128830,28.47,2025-11-14 16:23:02
165,COUPON-653771,21.16,2025-04-21 16:23:02
166,COUPON-486947,7.39,2025-10-29 16:23:02
167,COUPON-708426,26.99,2026-01-17 16:23:02
168,COUPON-316491,30.0,2025-09-15 16:23:02
169,COUPON-304288,11.57,2025-10-30 16:23:02
170,COUPON-129709,23.33,2025-07-01 16:23:02
171,COUPON-445268,11.15,2025-03-30 16:23:02
172,COUPON-645694,7.56,2025-11-23 16:23:02
173,COUPON-494425,27.01,2025-11-14 16:23:02
174,COUPON-678323,24.89,2026-01-11 16:23:02
175,COUPON-571059,16.36,2025-03-23 16:23:02
176,COUPON-656656,22.79,2026-01-16 16:23:02
177,COUPON-216423,19.87,2025-12-11 16:23:02
178,COUPON-813635,10.48,2025-11-07 16:23:02
179,COUPON-208442,17.54,2026-01-15 16:23:02
180,COUPON-493289,13.35,2025-05-17 16:23:02
181,COUPON-673860,14.57,2025-10-15 16:23:02
182,COUPON-858636,10.45,2025-03-16 16:23:02
183,COUPON-451028,28.44,2025-09-18 16:23:02
184,COUPON-690014,5.99,2026-01-24 16:23:02
185,COUPON-332214,13.86,2025-06-13 16:23:02
186,COUPON-371450,7.21,2025-12-02 16:23:02
187,COUPON-938436,15.06,2025-07-11 16:23:02
188,COUPON-221345,10.21,2026-01-07 16:23:02
189,COUPON-608072,18.51,2026-01-07 16:23:02
190,COUPON-339283,16.94,2025-12-27 16:23:02
191,COUPON-968611,18.81,2025-10-28 16:23:02
192,COUPON-944337,9.27,2025-06-02 16:23:02
193,COUPON-839492,23.11,2025-10-23 16:23:02
194,COUPON-181066,18.28,2026-01-14 16:23:02
195,COUPON-363279,12.75,2026-01-21 16:23:02
196,COUPON-926481,17.39,2025-05-25 16:23:02
197,COUPON-836968,28.76,2025-07-24 16:23:02
198,COUPON-334956,28.37,2025-10-10 16:23:02
199,COUPON-896627,19.09,2025-10-27 16:23:02
200,COUPON-624731,11.81,2025-05-28 16:23:02
201,COUPON-131793,6.17,2025-03-13 16:23:02
202,COUPON-430178,26.72,2025-07-05 16:23:02
203,COUPON-561853,15.88,2025-08-04 16:23:02
204,COUPON-170872,20.1,2025-09-10 16:23:02
205,COUPON-106766,10.79,2025-10-27 16:23:02
206,COUPON-844769,17.26,2025-12-05 16:23:02
207,COUPON-866730,7.93,2025-08-11 16:23:02
208,COUPON-492873,19.65,2026-01-30 16:23:02
209,COUPON-974139,15.17,2026-01-05 16:23:02
210,COUPON-646889,20.85,2025-07-05 16:23:02
211,COUPON-663445,23.66,2025-07-22 16:23:02
212,COUPON-717680,26.63,2025-03-06 16:23:02
213,COUPON-842579,27.66,2025-03-30 16:23:02
214,COUPON-362310,20.77,2026-01-20 16:23:02
215,COUPON-781654,17.72,2025-07-23 16:23:02
216,COUPON-556286,18.7,2025-12-19 16:23:02
217,COUPON-718652,9.81,2025-07-16 16:23:02
218,COUPON-510591,29.1,2025-08-03 16:23:02
219,COUPON-877333,5.45,2025-11-28 16:23:02
220,COUPON-132234,18.4,2025-12-24 16:23:02
221,COUPON-531687,5.58,2025-10-09 16:23:02
222,COUPON-325505,15.01,2025-11-28 16:23:02
223,COUPON-894117,29.55,2025-04-17 16:23:02
224,COUPON-577490,22.16,2025-04-26 16:23:02
225,COUPON-490903,21.75,2025-11-18 16:23:02
226,COUPON-843305,27.55,2025-04-19 16:23:02
227,COUPON-646137,8.05,2025-06-28 16:23:02
228,COUPON-337163,8.43,2025-09-17 16:23:02
229,COUPON-342199,29.49,2025-08-29 16:23:02
230,COUPON-487541,6.12,2025-05-11 16:23:02
231,COUPON-299473,29.51,2025-12-30 16:23:02
232,COUPON-470995,10.28,2025-04-19 16:23:02
233,COUPON-745512,20.3,2025-03-18 16:23:02
234,COUPON-765817,24.66,2026-01-04 16:23:02
235,COUPON-457892,23.33,2025-11-30 16:23:02
236,COUPON-321650,18.67,2025-05-18 16:23:02
237,COUPON-699573,10.62,2025-07-04 16:23:02
238,COUPON-208533,28.37,2026-01-15 16:23:02
239,COUPON-709709,6.37,2025-05-11 16:23:02
240,COUPON-731738,27.39,2026-01-26 16:23:02
241,COUPON-261118,23.08,2025-03-10 16:23:02
242,COUPON-139815,17.52,2025-04-18 16:23:02
243,COUPON-976195,8.15,2026-01-16 16:23:02
244,COUPON-873262,29.01,2025-06-25 16:23:02
245,COUPON-546918,23.51,2025-06-15 16:23:02
246,COUPON-260313,26.3,2025-05-08 16:23:02
247,COUPON-869962,16.88,2025-10-11 16:23:02
248,COUPON-657204,16.61,2025-05-30 16:23:02
249,COUPON-166739,24.55,2025-06-25 16:23:02
250,COUPON-933230,13.85,2025-03-10 16:23:02
251,COUPON-867971,22.07,2025-08-19 16:23:02
252,COUPON-831553,27.56,2025-07-31 16:23:02
253,COUPON-807811,19.84,2025-11-26 16:23:02
254,COUPON-689048,14.84,2025-07-22 16:23:02
255,COUPON-461643,28.77,2025-11-25 16:23:02
256,COUPON-646901,20.29,2025-05-17 16:23:02
257,COUPON-410069,12.95,2025-03-04 16:23:02
258,COUPON-523848,19.58,2025-05-07 16:23:02
259,COUPON-451102,7.87,2025-03-30 16:23:02
260,COUPON-542878,11.14,2025-06-02 16:23:02
261,COUPON-972848,15.42,2025-07-28 16:23:02
262,COUPON-234615,19.58,2025-03-11 16:23:02
263,COUPON-900609,14.7,2025-08-04 16:23:02
264,COUPON-803156,8.56,2025-10-15 16:23:02
265,COUPON-739462,21.68,2025-12-26 16:23:02
266,COUPON-108337,7.21,2025-08-26 16:23:02
267,COUPON-964053,13.8,2025-06-11 16:23:02
268,COUPON-533726,11.67,2025-04-09 16:23:02
269,COUPON-741893,11.76,2025-06-05 16:23:02
270,COUPON-940544,14.57,2025-04-07 16:23:02
271,COUPON-489073,27.52,2025-07-01 16:23:02
272,COUPON-880391,11.56,2025-10-10 16:23:02
273,COUPON-503056,9.77,2025-08-22 16:23:02
274,COUPON-609372,6.43,2025-04-09 16:23:02
275,COUPON-146119,9.5,2025-03-08 16:23:02
276,COUPON-110981,14.99,2026-01-11 16:23:02
277,COUPON-958256,24.97,2025-06-06 16:23:02
278,COUPON-892896,17.03,2025-05-09 16:23:02
279,COUPON-166370,22.09,2025-04-24 16:23:02
280,COUPON-396026,16.67,2025-04-05 16:23:02
281,COUPON-290396,9.06,2025-09-13 16:23:02
282,COUPON-736963,20.3,2025-06-27 16:23:02
283,COUPON-994708,9.93,2025-08-01 16:23:02
284,COUPON-644883,23.39,2025-07-04 16:23:02
285,COUPON-577107,26.3,2025-03-19 16:23:02
286,COUPON-735853,11.58,2025-10-11 16:23:02
287,COUPON-364600,25.01,2025-07-15 16:23:02
288,COUPON-366472,28.69,2025-10-19 16:23:02
289,COUPON-423238,27.73,2025-07-14 16:23:02
290,COUPON-865957,11.92,2025-11-19 16:23:02
291,COUPON-774923,11.68,2025-06-29 16:23:02
292,COUPON-185364,12.51,2025-09-21 16:23:02
293,COUPON-944660,7.86,2025-04-29 16:23:02
294,COUPON-903496,27.16,2025-04-25 16:23:02
295,COUPON-351407,21.85,2025-12-28 16:23:02
296,COUPON-662263,16.85,2025-11-06 16:23:02
297,COUPON-292093,28.97,2025-06-09 16:23:02
298,COUPON-312367,19.03,2025-11-25 16:23:02
299,COUPON-932343,13.65,2025-10-06 16:23:02
300,COUPON-776933,11.28,2025-07-17 16:23:02
301,COUPON-894387,10.7,2025-08-26 16:23:02
302,COUPON-519792,12.17,2025-05-14 16:23:02
303,COUPON-571308,20.92,2025-10-15 16:23:02
304,COUPON-439710,21.24,2025-04-16 16:23:02
305,COUPON-349739,17.71,2025-10-14 16:23:02
306,COUPON-141628,9.41,2025-09-15 16:23:02
307,COUPON-820903,18.31,2025-10-21 16:23:02
308,COUPON-311420,5.72,2025-04-03 16:23:02
309,COUPON-496449,15.27,2025-07-31 16:23:02
310,COUPON-252220,19.25,2026-01-04 16:23:02
311,COUPON-261706,26.94,2025-11-10 16:23:02
312,COUPON-399173,27.64,2025-09-05 16:23:02
313,COUPON-927936,28.77,2025-08-16 16:23:02
314,COUPON-342382,29.38,2025-06-07 16:23:02
315,COUPON-704047,18.76,2025-11-23 16:23:02
316,COUPON-205848,22.69,2025-08-14 16:23:02
317,COUPON-623199,14.7,2025-05-15 16:23:02
318,COUPON-450751,19.44,2025-04-20 16:23:02
319,COUPON-122374,6.79,2025-10-01 16:23:02
320,COUPON-118107,8.44,2026-01-22 16:23:02
321,COUPON-364497,18.8,2025-10-23 16:23:02
322,COUPON-709798,11.37,2025-08-03 16:23:02
323,COUPON-311303,25.56,2025-07-07 16:23:02
324,COUPON-943479,8.69,2025-05-09 16:23:02
325,COUPON-717822,29.06,2025-07-09 16:23:02
326,COUPON-678858,13.29,2025-04-12 16:23:02
327,COUPON-985545,8.86,2025-09-01 16:23:02
328,COUPON-197591,20.04,2025-06-28 16:23:02
329,COUPON-943311,23.35,2025-11-18 16:23:02
330,COUPON-232995,16.07,2025-03-15 16:23:02
331,COUPON-875684,26.16,2025-12-16 16:23:02
332,COUPON-502989,8.6,2025-11-28 16:23:02
333,COUPON-791669,8.22,2026-01-13 16:23:02
334,COUPON-135661,8.29,2025-12-02 16:23:02
335,COUPON-930314,18.18,2025-09-25 16:23:02
336,COUPON-727182,15.61,2025-05-09 16:23:02
337,COUPON-675820,21.23,2025-05-22 16:23:02
338,COUPON-542478,23.91,2025-05-19 16:23:02
339,COUPON-407899,16.49,2025-10-05 16:23:02
340,COUPON-889667,5.83,2025-12-09 16:23:02
341,COUPON-547577,9.14,2025-05-08 16:23:02
342,COUPON-862216,25.37,2025-03-14 16:23:02
343,COUPON-104729,9.05,2025-09-10 16:23:02
344,COUPON-200127,26.69,2025-06-11 16:23:02
345,COUPON-154450,15.64,2026-01-12 16:23:02
346,COUPON-349501,5.65,2025-12-11 16:23:02
347,COUPON-720170,21.17,2025-07-13 16:23:02
348,COUPON-567807,20.73,2025-10-15 16:23:02
349,COUPON-807340,25.3,2025-09-18 16:23:02
350,COUPON-461329,20.12,2025-06-19 16:23:02
351,COUPON-196402,8.45,2025-03-16 16:23:02
352,COUPON-128042,27.54,2025-07-09 16:23:02
353,COUPON-574204,14.24,2025-07-11 16:23:02
354,COUPON-774421,5.52,2025-08-12 16:23:02
355,COUPON-965204,14.27,2025-07-03 16:23:02
356,COUPON-255968,15.88,2026-01-24 16:23:02
357,COUPON-396474,15.1,2025-04-02 16:23:02
358,COUPON-657741,20.32,2026-01-15 16:23:02
359,COUPON-125826,20.3,2026-01-24 16:23:02
360,COUPON-645757,6.28,2025-11-30 16:23:02
361,COUPON-394690,28.85,2025-10-06 16:23:02
362,COUPON-757888,5.94,2025-08-02 16:23:02
363,COUPON-716141,15.23,2025-08-05 16:23:02
364,COUPON-996490,27.05,2025-06-19 16:23:02
365,COUPON-841405,24.83,2025-06-27 16:23:02
366,COUPON-807567,26.54,2025-03-03 16:23:02
367,COUPON-836887,18.48,2025-06-09 16:23:02
368,COUPON-249473,8.68,2025-12-07 16:23:02
369,COUPON-265767,6.8,2025-05-17 16:23:02
370,COUPON-224554,9.1,2025-10-31 16:23:02
371,COUPON-964333,26.46,2025-11-24 16:23:02
372,COUPON-819668,29.97,2025-10-07 16:23:02
373,COUPON-528534,15.85,2025-11-14 16:23:02
374,COUPON-487958,14.35,2025-05-03 16:23:02
375,COUPON-681529,6.71,2025-03-06 16:23:02
376,COUPON-202134,18.24,2025-07-03 16:23:02
377,COUPON-786506,7.56,2025-07-02 16:23:02
378,COUPON-724934,11.92,2025-12-04 16:23:02
379,COUPON-156576,27.03,2025-06-26 16:23:02
380,COUPON-102000,9.77,2026-01-04 16:23:02
381,COUPON-822021,27.58,2025-10-24 16:23:02
382,COUPON-386870,5.91,2025-05-03 16:23:02
383,COUPON-406748,16.9,2025-10-23 16:23:02
384,COUPON-898905,5.93,2025-10-06 16:23:02
385,COUPON-663428,16.05,2025-04-22 16:23:02
386,COUPON-586332,24.78,2025-11-03 16:23:02
387,COUPON-529204,28.14,2025-05-29 16:23:02
388,COUPON-561124,19.15,2025-04-28 16:23:02
389,COUPON-241750,29.78,2025-06-19 16:23:02
390,COUPON-483558,10.49,2025-09-17 16:23:02
391,COUPON-231434,13.16,2025-07-26 16:23:02
392,COUPON-231418,15.42,2025-07-09 16:23:02
393,COUPON-546483,8.66,2025-06-05 16:23:02
394,COUPON-394860,23.77,2025-10-02 16:23:02
395,COUPON-508032,9.97,2025-12-22 16:23:02
396,COUPON-244656,17.34,2025-11-02 16:23:02
397,COUPON-487461,17.22,2026-01-23 16:23:02
398,COUPON-859375,17.86,2025-11-01 16:23:02
399,COUPON-694378,17.82,2025-03-20 16:23:02
400,COUPON-462647,7.7,2025-07-19 16:23:02
401,COUPON-182380,5.03,2025-12-10 16:23:02
402,COUPON-402515,19.98,2025-11-23 16:23:02
403,COUPON-613686,20.95,2025-08-05 16:23:02
404,COUPON-223644,25.45,2025-10-11 16:23:02
405,COUPON-258045,5.88,2025-09-21 16:23:02
406,COUPON-760304,17.61,2025-10-23 16:23:02
407,COUPON-643184,12.69,2025-08-09 16:23:02
408,COUPON-822805,13.39,2025-09-07 16:23:02
409,COUPON-900164,15.49,2025-12-29 16:23:02
410,COUPON-984376,21.47,2025-03-21 16:23:02
411,COUPON-121505,19.6,2025-04-05 16:23:02
412,COUPON-945714,16.49,2025-06-10 16:23:02
413,COUPON-969016,25.25,2025-11-12 16:23:02
414,COUPON-828242,11.24,2025-12-05 16:23:02
415,COUPON-475408,10.12,2025-09-14 16:23:02
416,COUPON-502558,15.82,2025-09-13 16:23:02
417,COUPON-244019,28.02,2025-08-26 16:23:02
418,COUPON-428090,20.01,2025-04-30 16:23:02
419,COUPON-609133,21.7,2025-11-07 16:23:02
420,COUPON-783206,21.48,2025-11-17 16:23:02
421,COUPON-630432,10.09,2025-12-14 16:23:02
422,COUPON-929278,18.07,2025-09-24 16:23:02
423,COUPON-228897,25.88,2025-07-31 16:23:02
424,COUPON-251368,29.27,2025-08-07 16:23:02
425,COUPON-626951,8.75,2026-01-11 16:23:02
426,COUPON-271932,13.91,2025-05-17 16:23:02
427,COUPON-804941,26.81,2025-10-12 16:23:02
428,COUPON-840582,9.71,2026-01-09 16:23:02
429,COUPON-619506,24.07,2025-03-17 16:23:02
430,COUPON-207076,11.79,2025-05-04 16:23:02
431,COUPON-694491,11.91,2025-12-10 16:23:02
432,COUPON-389154,5.64,2025-07-21 16:23:02
433,COUPON-569559,21.3,2025-11-11 16:23:02
434,COUPON-192137,27.48,2025-12-20 16:23:02
435,COUPON-592253,11.41,2025-12-08 16:23:02
436,COUPON-946083,26.13,2025-07-04 16:23:02
437,COUPON-791929,13.09,2026-01-16 16:23:02
438,COUPON-511087,17.02,2025-03-25 16:23:02
439,COUPON-270671,27.08,2025-11-20 16:23:02
440,COUPON-807882,17.58,2025-07-25 16:23:02
441,COUPON-148253,27.51,2025-08-18 16:23:02
442,COUPON-822622,17.89,2025-11-26 16:23:02
443,COUPON-934167,20.53,2025-07-15 16:23:02
444,COUPON-555494,28.55,2025-12-18 16:23:02
445,COUPON-899117,25.91,2025-10-08 16:23:02
446,COUPON-805357,15.33,2025-03-14 16:23:02
447,COUPON-962955,27.5,2025-10-23 16:23:02
448,COUPON-784744,7.8,2025-04-15 16:23:02
449,COUPON-575216,5.6,2025-11-23 16:23:02
450,COUPON-264276,23.01,2025-12-21 16:23:02
451,COUPON-537269,26.52,2025-09-21 16:23:02
452,COUPON-609771,8.08,2025-05-09 16:23:02
453,COUPON-452054,24.48,2026-01-23 16:23:02
454,COUPON-597163,20.98,2025-03-20 16:23:02
455,COUPON-764897,10.29,2025-04-05 16:23:02
456,COUPON-281797,11.57,2025-10-20 16:23:02
457,COUPON-305223,21.4,2025-07-16 16:23:02
458,COUPON-900998,18.15,2025-05-12 16:23:02
459,COUPON-778146,13.18,2025-05-20 16:23:02
460,COUPON-982590,21.13,2025-08-21 16:23:02
461,COUPON-242018,14.46,2025-06-28 16:23:02
462,COUPON-432536,22.63,2025-12-05 16:23:02
463,COUPON-442250,25.88,2025-03-23 16:23:02
464,COUPON-356739,7.41,2025-08-23 16:23:02
465,COUPON-206680,7.0,2025-04-14 16:23:02
466,COUPON-690380,12.28,2025-09-27 16:23:02
467,COUPON-160232,16.51,2025-11-17 16:23:02
468,COUPON-470696,10.69,2025-10-26 16:23:02
469,COUPON-101247,26.65,2025-11-06 16:23:02
470,COUPON-214205,9.36,2025-08-05 16:23:02
471,COUPON-157025,16.12,2025-07-19 16:23:02
472,COUPON-811705,5.18,2025-07-25 16:23:02
473,COUPON-115201,17.35,2025-04-25 16:23:02
474,COUPON-576244,11.74,2025-06-06 16:23:02
475,COUPON-670329,26.64,2025-07-27 16:23:02
476,COUPON-453126,18.08,2025-09-23 16:23:02
477,COUPON-903143,14.58,2025-09-15 16:23:02
478,COUPON-573709,18.84,2026-01-18 16:23:02
479,COUPON-745541,21.42,2025-05-05 16:23:02
480,COUPON-686838,29.39,2025-05-10 16:23:02
481,COUPON-255534,25.5,2026-01-17 16:23:02
482,COUPON-317998,25.84,2025-05-29 16:23:02
483,COUPON-688433,11.92,2025-05-20 16:23:02
484,COUPON-329824,20.57,2025-11-16 16:23:02
485,COUPON-464429,24.11,2025-12-28 16:23:02
486,COUPON-528329,24.82,2025-07-20 16:23:02
487,COUPON-246033,25.52,2025-05-18 16:23:02
488,COUPON-734289,15.63,2025-11-09 16:23:02
489,COUPON-363854,21.77,2026-01-10 16:23:02
490,COUPON-715774,20.44,2025-06-10 16:23:02
491,COUPON-319167,24.89,2025-05-09 16:23:02
492,COUPON-670694,26.48,2025-10-07 16:23:02
493,COUPON-965061,8.73,2025-06-15 16:23:02
494,COUPON-139448,26.5,2025-11-18 16:23:02
495,COUPON-392065,22.55,2025-10-27 16:23:02
496,COUPON-602345,9.43,2025-11-15 16:23:02
497,COUPON-388797,19.65,2025-12-20 16:23:02
498,COUPON-357271,15.24,2025-07-29 16:23:02
499,COUPON-786206,7.09,2025-04-07 16:23:02
500,COUPON-712652,24.65,2025-09-25 16:23:02
501,COUPON-616110,16.5,2025-05-29 16:23:02
502,COUPON-325079,28.45,2026-01-12 16:23:02
503,COUPON-916771,21.33,2025-07-25 16:23:02
504,COUPON-477401,6.38,2025-08-28 16:23:02
505,COUPON-996928,23.79,2026-01-06 16:23:02
506,COUPON-846363,25.75,2025-12-15 16:23:02
507,COUPON-110440,25.65,2025-05-24 16:23:02
508,COUPON-518829,24.95,2025-03-19 16:23:02
509,COUPON-429057,24.23,2025-12-09 16:23:02
510,COUPON-483460,25.66,2025-04-25 16:23:02
511,COUPON-666591,20.26,2025-03-01 16:23:02
512,COUPON-800407,6.79,2025-09-26 16:23:02
513,COUPON-859048,9.9,2025-04-30 16:23:02
514,COUPON-367261,26.39,2025-12-05 16:23:02
515,COUPON-987014,12.49,2025-07-23 16:23:02
516,COUPON-898607,19.71,2025-11-27 16:23:02
